training_id,unit_id,personnel_id,training_type,training_date,completion_status,score,certification_status
T-00061,U-012,P-00014,Safety,2025-09-07,Completed,78.7,Pending
T-00062,U-006,P-01859,Leadership,2025-03-05,Incomplete,56.8,Pending
T-00063,U-055,P-00085,Advanced,2025-05-24,Incomplete,59.5,Pending
T-00064,U-004,P-00543,Advanced,2026-02-10,Completed,87.6,Certified
T-00065,U-012,P-02293,Core,2025-11-23,Completed,92.3,Certified
T-00066,U-026,P-00393,Core,2025-05-05,Completed,93.0,Certified
T-00067,U-014,P-00314,Core,2026-01-23,Completed,89.3,Certified
T-00068,U-032,P-02320,Safety,2025-04-25,Incomplete,63.8,Pending
T-00069,U-005,P-00022,Leadership,2026-03-23,Completed,90.2,Certified
T-00070,U-023,P-02524,Leadership,2025-03-08,Completed,78.3,Pending
T-00071,U-028,P-00163,Core,2025-10-16,Completed,92.7,Certified
T-00072,U-052,P-02515,Core,2026-03-12,Incomplete,68.7,Pending
T-00073,U-017,P-00940,Advanced,2025-06-05,Completed,92.6,Certified
T-00074,U-042,P-01487,Leadership,2025-09-21,Incomplete,60.0,Pending
T-00075,U-055,P-00554,Safety,2026-06-04,Completed,96.0,Certified
T-00076,U-051,P-02586,Leadership,2026-04-02,Completed,72.4,Pending
T-00077,U-021,P-00598,Leadership,2025-01-21,Incomplete,59.9,Pending
T-00078,U-034,P-00639,Safety,2025-11-05,Completed,91.6,Certified
T-00079,U-016,P-02438,Safety,2025-02-06,Completed,72.6,Pending
T-00080,U-002,P-00644,Advanced,2025-03-27,Completed,86.8,Certified
T-00081,U-044,P-02123,Advanced,2025-11-30,Completed,84.9,Certified
T-00082,U-020,P-01079,Core,2025-12-06,Completed,83.6,Certified
T-00083,U-056,P-02849,Safety,2025-12-03,Completed,76.0,Pending
T-00084,U-041,P-00009,Advanced,2025-10-29,Completed,99.2,Certified
T-00085,U-022,P-00581,Advanced,2026-03-05,Completed,98.6,Certified
T-00086,U-006,P-00882,Safety,2025-07-03,Incomplete,66.0,Pending
T-00087,U-009,P-00931,Leadership,2025-11-25,Incomplete,60.2,Pending
T-00088,U-034,P-01178,Leadership,2025-05-08,Completed,77.6,Pending
T-00089,U-050,P-02812,Advanced,2025-01-03,Completed,98.3,Certified
T-00090,U-049,P-00634,Core,2025-07-31,Incomplete,55.7,Pending
T-00091,U-049,P-02522,Advanced,2025-01-15,Completed,91.1,Certified
T-00092,U-030,P-00963,Leadership,2026-04-06,Incomplete,59.8,Pending
T-00093,U-041,P-01743,Leadership,2025-10-14,Completed,92.4,Certified
T-00094,U-009,P-01259,Advanced,2025-07-02,Completed,78.3,Pending
T-00095,U-002,P-02091,Core,2026-05-26,Completed,88.6,Certified
T-00096,U-027,P-00800,Core,2025-11-03,Completed,82.7,Certified
T-00097,U-005,P-02508,Core,2026-01-31,Completed,74.5,Pending
T-00098,U-058,P-01710,Leadership,2026-03-24,Completed,72.6,Pending
T-00099,U-025,P-00716,Core,2025-06-10,Completed,80.5,Certified
T-00100,U-011,P-02905,Leadership,2025-11-16,Completed,82.4,Certified
T-00001,U-047,P-01597,Safety,2026-03-27,Incomplete,58.3,Pending
