mission_id,unit_id,mission_type,region,start_date,end_date,mission_status,personnel_deployed,equipment_deployed,mission_priority
MS-00075,U-007,Support,Base 07,2025-08-18,2025-08-24,Active,147,10,Critical
MS-00076,U-023,Transport,Base 23,2026-06-17,2026-06-30,Planned,28,21,Routine
MS-00077,U-028,Training,Base 28,2025-06-26,2025-07-01,Active,90,8,Routine
MS-00078,U-043,Exercise,Base 43,2025-04-25,2025-05-07,Completed,174,19,High
MS-00079,U-042,Transport,Base 42,2026-06-11,2026-06-12,Active,172,28,Critical
MS-00080,U-005,Exercise,Base 05,2025-01-19,2025-01-26,Planned,67,2,High
MS-00081,U-007,Training,Base 07,2025-09-10,2025-09-18,Planned,270,16,Routine
MS-00082,U-040,Exercise,Base 40,2025-12-09,2025-12-21,Completed,221,2,High
MS-00083,U-013,Support,Base 13,2026-05-21,2026-05-22,Completed,40,17,Critical
MS-00084,U-012,Exercise,Base 12,2025-11-02,2025-11-07,Completed,30,8,Routine
MS-00085,U-005,Transport,Base 05,2026-04-01,2026-04-08,Planned,125,21,Routine
MS-00086,U-026,Transport,Base 26,2025-03-13,2025-03-19,Completed,36,7,Routine
MS-00087,U-039,Transport,Base 39,2025-01-17,2025-01-21,Active,101,35,High
MS-00088,U-035,Training,Base 35,2026-03-12,2026-03-20,Completed,196,26,High
MS-00089,U-026,Support,Base 26,2026-05-29,2026-06-05,Active,125,11,Routine
MS-00090,U-037,Exercise,Base 37,2025-10-17,2025-10-24,Planned,201,14,Routine
MS-00091,U-057,Training,Base 57,2025-01-02,2025-01-16,Active,54,21,High
MS-00092,U-008,Training,Base 08,2026-06-12,2026-06-27,Active,103,32,Critical
MS-00093,U-053,Support,Base 53,2025-08-22,2025-08-27,Completed,256,36,Routine
MS-00094,U-006,Training,Base 06,2025-11-09,2025-11-14,Active,190,3,Critical
MS-00095,U-052,Support,Base 52,2026-06-14,2026-06-18,Active,155,14,Critical
MS-00096,U-027,Training,Base 27,2026-08-08,2026-08-22,Planned,176,30,Critical
MS-00097,U-053,Support,Base 53,2026-05-18,2026-05-21,Active,271,12,High
MS-00098,U-056,Support,Base 56,2025-06-18,2025-06-29,Active,146,16,Routine
MS-00099,U-020,Training,Base 20,2025-01-06,2025-01-08,Planned,226,20,High
MS-00100,U-002,Training,Base 02,2026-01-02,2026-01-12,Active,249,18,High
MS-00001,U-002,Support,Base 02,2025-05-29,2025-06-13,Active,174,20,High
