personnel_id,unit_id,rank,role,specialization,training_status,training_completion_percentage,deployment_status,joining_date
P-00083,U-034,Lead,Engineer,Planning,In Progress,84.3,Training,2023-07-08
P-00084,U-006,Officer,Analyst,Operations,In Progress,76.2,Training,2019-03-05
P-00085,U-055,Officer,Medic,Operations,In Progress,62.2,Training,2022-06-29
P-00086,U-053,Junior,Medic,Systems,In Progress,89.2,Deployed,2020-10-30
P-00087,U-021,Officer,Logistics,Systems,In Progress,60.2,Training,2024-02-01
P-00088,U-030,Senior,Logistics,Operations,In Progress,73.6,Training,2023-08-04
P-00089,U-041,Junior,Engineer,Operations,In Progress,74.9,Training,2019-06-21
P-00090,U-060,Officer,Operator,Systems,In Progress,68.0,Training,2024-10-29
P-00091,U-052,Senior,Analyst,Systems,In Progress,65.8,Training,2022-07-30
P-00092,U-006,Junior,Medic,Systems,In Progress,65.1,Training,2019-09-23
P-00093,U-032,Lead,Logistics,Operations,Complete,97.0,Deployed,2023-05-31
P-00094,U-031,Senior,Medic,Maintenance,In Progress,66.0,Training,2023-09-13
P-00095,U-048,Junior,Analyst,Planning,Complete,94.6,Deployed,2023-09-11
P-00096,U-018,Lead,Analyst,Planning,Complete,91.9,Available,2023-01-04
P-00097,U-035,Lead,Logistics,Planning,In Progress,76.8,Deployed,2021-08-11
P-00098,U-056,Senior,Logistics,Planning,In Progress,63.5,Available,2022-08-10
P-00099,U-003,Officer,Medic,Planning,In Progress,69.3,Training,2025-04-24
P-00100,U-010,Junior,Engineer,Operations,In Progress,77.3,Available,2022-12-09
P-00001,U-016,Senior,Analyst,Planning,In Progress,67.0,Deployed,2018-10-25
