maintenance_id,equipment_id,unit_id,maintenance_type,maintenance_date,completion_date,downtime_days,maintenance_cost,maintenance_status,failure_category
M-00202,E-00142,U-042,Inspection,2025-07-26,2025-08-05,16,9690.34,Completed,Mechanical
M-00203,E-00330,U-013,Corrective,2025-10-19,2025-10-21,10,3705.6,In Progress,Power
M-00204,E-00045,U-006,Preventive,2025-10-05,2025-10-14,12,3948.06,In Progress,Power
M-00205,E-00419,U-036,Corrective,2025-09-27,2025-09-29,3,13416.65,In Progress,Software
M-00206,E-01016,U-026,Corrective,2025-07-13,2025-07-16,17,4899.17,In Progress,Mechanical
M-00207,E-01236,U-057,Inspection,2025-07-13,2025-07-17,17,1506.14,Completed,Software
M-00208,E-00136,U-054,Preventive,2026-05-08,2026-05-15,2,24813.38,Completed,Power
M-00209,E-00126,U-035,Corrective,2026-06-01,2026-06-06,10,2627.51,Overdue,Mechanical
M-00210,E-00512,U-006,Inspection,2026-03-06,2026-03-13,2,16791.77,Overdue,No Failure
M-00211,E-01292,U-046,Preventive,2025-07-23,2025-07-27,16,22809.56,Overdue,No Failure
M-00212,E-01498,U-040,Inspection,2025-06-12,2025-06-14,2,14718.62,In Progress,Electrical
M-00213,E-01485,U-017,Corrective,2026-02-28,2026-03-08,15,11645.53,In Progress,Mechanical
M-00214,E-01568,U-020,Corrective,2026-04-13,2026-04-18,12,9040.55,In Progress,Software
M-00215,E-00120,U-026,Corrective,2025-08-02,2025-08-11,4,15527.82,Overdue,Mechanical
M-00216,E-00414,U-020,Inspection,2026-01-02,2026-01-14,4,3143.03,Completed,Power
M-00217,E-00782,U-051,Inspection,2025-07-29,2025-08-04,12,5532.88,Completed,Software
M-00218,E-01267,U-018,Preventive,2025-05-19,2025-05-31,8,5120.51,Completed,Power
M-00219,E-00748,U-038,Corrective,2025-03-13,2025-03-24,17,8215.07,Overdue,No Failure
M-00220,E-00952,U-012,Preventive,2025-01-24,2025-01-31,9,925.42,Completed,Electrical
M-00221,E-00030,U-023,Corrective,2026-01-30,2026-02-04,4,8335.74,Completed,Mechanical
M-00222,E-00627,U-001,Corrective,2026-06-04,2026-06-11,6,3130.38,In Progress,Mechanical
M-00223,E-01152,U-041,Inspection,2025-09-08,2025-09-13,5,11602.56,Overdue,Electrical
M-00224,E-00511,U-003,Preventive,2025-02-25,2025-03-07,10,1815.16,Overdue,Mechanical
M-00225,E-01690,U-005,Preventive,2026-05-05,2026-05-11,6,16834.06,Completed,Power
M-00226,E-01517,U-023,Inspection,2026-01-05,2026-01-15,7,11621.79,Completed,Power
M-00227,E-00767,U-018,Preventive,2026-07-14,2026-07-23,9,13502.68,Overdue,Software
M-00228,E-00174,U-034,Inspection,2025-11-04,2025-11-10,3,9910.28,Overdue,Mechanical
M-00229,E-01280,U-035,Inspection,2025-03-10,2025-03-22,9,8182.4,In Progress,Mechanical
M-00230,E-00612,U-060,Corrective,2026-03-19,2026-03-25,5,6337.29,Overdue,No Failure
M-00231,E-00062,U-009,Preventive,2025-09-22,2025-09-28,6,7927.4,Completed,Software
M-00232,E-00770,U-049,Inspection,2026-05-23,2026-05-29,11,6763.32,Completed,No Failure
M-00233,E-01029,U-019,Corrective,2026-04-27,2026-05-07,12,19230.22,Completed,Mechanical
M-00234,E-00770,U-049,Preventive,2026-04-08,2026-04-20,8,10876.22,Completed,Mechanical
M-00235,E-00092,U-012,Inspection,2025-05-12,2025-05-24,1,1903.75,Overdue,Mechanical
M-00236,E-01365,U-008,Corrective,2025-03-20,2025-03-28,2,20802.06,In Progress,Power
M-00237,E-00553,U-037,Preventive,2026-03-10,2026-03-21,8,3093.22,Completed,Power
M-00238,E-01360,U-036,Preventive,2025-11-02,2025-11-14,16,14891.43,Completed,No Failure
M-00239,E-00790,U-032,Corrective,2025-10-02,2025-10-10,11,21154.28,In Progress,Mechanical
M-00240,E-00592,U-048,Inspection,2025-07-03,2025-07-12,7,21795.5,Overdue,Electrical
M-00241,E-01004,U-050,Corrective,2026-05-30,2026-06-01,12,17161.35,In Progress,Electrical
M-00242,E-01068,U-012,Preventive,2026-06-05,2026-06-11,12,18696.53,Completed,Mechanical
M-00243,E-00748,U-038,Inspection,2026-03-02,2026-03-09,3,21560.3,In Progress,Software
M-00244,E-01193,U-045,Preventive,2025-11-05,2025-11-15,8,10804.16,Overdue,Power
M-00245,E-00795,U-057,Corrective,2025-09-14,2025-09-25,1,8870.06,In Progress,Mechanical
M-00246,E-00245,U-037,Preventive,2026-02-28,2026-03-02,8,5572.73,In Progress,Electrical
M-00247,E-00385,U-011,Preventive,2025-07-11,2025-07-16,12,23312.1,Overdue,Power
M-00248,E-00765,U-030,Inspection,2026-02-09,2026-02-16,3,15039.74,Completed,Power
M-00249,E-01314,U-024,Inspection,2026-03-16,2026-03-24,10,14172.05,Overdue,Electrical
M-00250,E-01188,U-059,Inspection,2026-05-13,2026-05-18,17,12302.51,Overdue,Software
M-00251,E-00837,U-057,Preventive,2025-07-22,2025-08-01,14,23278.0,Completed,Mechanical
M-00252,E-00332,U-012,Inspection,2026-05-22,2026-05-23,9,17861.22,In Progress,Software
M-00253,E-01793,U-033,Preventive,2025-07-07,2025-07-13,3,10837.93,Completed,Power
M-00254,E-00009,U-035,Preventive,2025-05-04,2025-05-12,10,10431.48,Overdue,No Failure
M-00255,E-00227,U-003,Corrective,2026-05-15,2026-05-19,4,18952.07,Completed,Software
M-00256,E-01691,U-011,Corrective,2026-05-30,2026-06-03,15,24906.78,Overdue,No Failure
M-00257,E-01714,U-051,Corrective,2026-06-21,2026-07-02,12,6042.44,In Progress,No Failure
M-00258,E-00861,U-002,Preventive,2025-06-03,2025-06-07,1,10624.09,In Progress,Electrical
M-00259,E-00964,U-007,Inspection,2025-07-31,2025-08-12,12,12513.14,In Progress,Electrical
M-00260,E-01271,U-057,Preventive,2025-10-24,2025-11-03,17,8080.01,Completed,No Failure
M-00261,E-01637,U-030,Preventive,2025-11-02,2025-11-14,2,5818.66,Overdue,Power
M-00262,E-00961,U-008,Preventive,2025-07-28,2025-08-01,5,8059.18,Overdue,Power
M-00263,E-01453,U-010,Corrective,2026-04-01,2026-04-13,13,5571.96,In Progress,Power
M-00264,E-01400,U-010,Corrective,2025-08-23,2025-08-30,3,3340.43,Overdue,Power
M-00265,E-00027,U-015,Inspection,2025-09-06,2025-09-07,14,21495.22,Overdue,Software
M-00266,E-00675,U-011,Inspection,2026-06-02,2026-06-09,5,16702.25,Overdue,Mechanical
M-00267,E-00410,U-038,Inspection,2025-03-07,2025-03-09,4,16568.6,Completed,Software
M-00268,E-01561,U-002,Corrective,2025-03-22,2025-03-30,1,20333.71,Completed,Electrical
M-00269,E-00869,U-021,Corrective,2026-01-30,2026-02-03,13,16447.83,Overdue,Mechanical
M-00270,E-00984,U-052,Inspection,2025-06-29,2025-07-01,8,4379.95,In Progress,Software
M-00271,E-01056,U-040,Corrective,2025-10-14,2025-10-15,7,5425.76,Overdue,Electrical
M-00272,E-01252,U-058,Inspection,2025-02-20,2025-02-23,9,24703.28,Completed,Power
M-00273,E-01005,U-059,Preventive,2026-01-05,2026-01-11,7,16824.22,Completed,Power
M-00274,E-00319,U-036,Inspection,2025-09-14,2025-09-20,5,21212.89,In Progress,Mechanical
M-00275,E-00850,U-050,Preventive,2026-04-08,2026-04-18,11,1662.19,Overdue,Power
M-00276,E-00112,U-006,Corrective,2026-01-14,2026-01-23,15,14108.5,In Progress,No Failure
M-00277,E-00258,U-020,Corrective,2026-02-12,2026-02-15,10,21305.77,Overdue,Mechanical
M-00278,E-01630,U-014,Inspection,2026-07-09,2026-07-11,17,9210.73,Overdue,Software
M-00279,E-01035,U-059,Inspection,2025-09-01,2025-09-10,6,22778.41,Overdue,No Failure
M-00280,E-00672,U-055,Corrective,2025-05-04,2025-05-14,15,11322.07,In Progress,Mechanical
M-00281,E-01177,U-050,Preventive,2025-04-02,2025-04-09,3,10501.14,In Progress,Electrical
M-00282,E-00848,U-042,Preventive,2025-12-21,2025-12-30,6,23990.77,Overdue,Electrical
M-00283,E-00223,U-009,Inspection,2026-08-05,2026-08-11,9,17856.65,Overdue,No Failure
