incident_id,unit_id,incident_date,incident_category,severity,status,resolution_days
I-00104,U-032,2025-09-22,Equipment,High,Open,3
I-00105,U-002,2026-07-09,Training,Medium,Resolved,17
I-00106,U-054,2026-06-09,Equipment,Low,Open,3
I-00107,U-028,2026-02-26,Training,Critical,Investigating,16
I-00108,U-001,2025-06-03,Logistics,Critical,Investigating,17
I-00109,U-023,2025-04-24,Safety,Critical,Investigating,13
I-00110,U-008,2025-05-31,Training,Critical,Resolved,12
I-00111,U-059,2026-07-19,Training,Critical,Investigating,13
I-00112,U-020,2026-03-15,Equipment,Critical,Investigating,19
I-00113,U-044,2025-02-11,Equipment,Medium,Investigating,14
I-00114,U-045,2025-11-01,Logistics,High,Resolved,17
I-00115,U-012,2025-12-07,Training,High,Investigating,12
I-00116,U-016,2025-10-29,Training,Critical,Resolved,17
I-00117,U-011,2025-02-11,Safety,Low,Open,15
I-00118,U-043,2026-01-31,Equipment,High,Open,16
I-00119,U-005,2025-08-29,Logistics,Medium,Resolved,8
I-00120,U-012,2025-02-17,Training,Critical,Resolved,11
I-00121,U-015,2025-11-17,Equipment,Low,Resolved,15
I-00122,U-041,2025-03-05,Training,Critical,Open,12
I-00123,U-051,2026-05-22,Logistics,Medium,Open,1
I-00124,U-010,2025-02-20,Equipment,Low,Investigating,6
I-00125,U-013,2025-02-19,Logistics,Critical,Resolved,0
I-00126,U-047,2025-01-29,Safety,Medium,Open,11
I-00127,U-057,2025-07-19,Equipment,Medium,Resolved,17
I-00128,U-020,2025-03-05,Training,High,Investigating,0
I-00129,U-060,2026-03-16,Equipment,Critical,Open,17
I-00130,U-008,2025-02-22,Logistics,Medium,Open,19
I-00131,U-035,2026-01-11,Training,High,Resolved,17
I-00132,U-004,2026-03-19,Logistics,Critical,Resolved,12
I-00133,U-018,2026-03-20,Equipment,Low,Resolved,13
I-00134,U-021,2025-03-06,Logistics,High,Open,4
I-00135,U-026,2025-11-23,Training,Critical,Open,15
I-00136,U-003,2025-10-07,Equipment,Low,Investigating,3
I-00137,U-024,2025-05-28,Equipment,Critical,Investigating,16
I-00138,U-032,2025-03-02,Safety,Low,Resolved,16
I-00139,U-022,2025-10-05,Training,Low,Investigating,20
I-00140,U-039,2025-07-30,Training,Critical,Investigating,7
I-00141,U-043,2025-07-31,Safety,Medium,Open,10
I-00142,U-054,2025-11-01,Equipment,Medium,Investigating,1
I-00143,U-026,2025-06-08,Safety,Medium,Investigating,13
I-00144,U-004,2025-05-13,Safety,Critical,Open,14
I-00145,U-016,2026-04-27,Equipment,Critical,Investigating,17
I-00146,U-003,2025-09-05,Safety,Critical,Resolved,20
I-00147,U-029,2026-03-22,Safety,Critical,Resolved,19
I-00148,U-001,2025-10-03,Logistics,Critical,Open,1
I-00149,U-022,2025-12-10,Equipment,Low,Resolved,18
I-00150,U-018,2026-08-11,Equipment,High,Investigating,19
I-00151,U-046,2025-03-11,Logistics,Low,Investigating,19
I-00152,U-003,2025-07-11,Logistics,Medium,Investigating,20
I-00153,U-012,2025-05-23,Training,High,Investigating,14
I-00154,U-057,2025-11-08,Safety,High,Resolved,11
I-00155,U-041,2025-02-14,Safety,Critical,Investigating,0
I-00156,U-015,2026-03-02,Equipment,High,Open,18
I-00157,U-042,2025-04-01,Logistics,Low,Investigating,18
I-00158,U-014,2025-05-07,Equipment,Medium,Open,12
I-00159,U-013,2025-10-26,Training,Medium,Resolved,0
I-00160,U-018,2025-08-13,Equipment,Medium,Resolved,12
I-00161,U-017,2025-10-12,Training,High,Resolved,3
I-00162,U-026,2025-11-06,Training,Critical,Open,10
I-00163,U-057,2025-06-11,Logistics,Low,Investigating,19
I-00164,U-007,2026-01-06,Logistics,Critical,Investigating,20
I-00165,U-049,2025-01-19,Logistics,High,Resolved,3
I-00166,U-029,2025-01-30,Logistics,Low,Resolved,17
I-00167,U-007,2025-05-23,Training,Critical,Open,12
I-00168,U-002,2025-06-09,Equipment,Medium,Investigating,17
I-00169,U-038,2026-03-25,Safety,High,Investigating,1
I-00170,U-027,2026-05-15,Training,Critical,Investigating,1
I-00171,U-051,2025-01-19,Safety,Medium,Open,18
I-00172,U-048,2026-04-07,Logistics,Critical,Investigating,20
I-00173,U-029,2025-01-08,Training,Critical,Resolved,0
I-00174,U-006,2026-02-18,Training,Critical,Open,4
I-00175,U-020,2026-03-23,Logistics,Medium,Investigating,13
I-00176,U-038,2025-12-22,Safety,Medium,Investigating,2
I-00177,U-028,2025-05-19,Safety,Medium,Investigating,3
I-00178,U-051,2025-10-09,Equipment,Medium,Resolved,9
I-00179,U-032,2025-10-21,Logistics,Critical,Resolved,11
I-00180,U-057,2025-05-06,Equipment,Critical,Resolved,2
I-00181,U-039,2025-10-08,Safety,High,Investigating,12
I-00182,U-015,2025-12-11,Safety,Low,Resolved,20
I-00183,U-042,2025-05-18,Logistics,Medium,Resolved,2
I-00184,U-029,2025-04-15,Training,Low,Open,4
I-00185,U-007,2025-07-04,Safety,High,Resolved,16
I-00186,U-060,2026-05-31,Training,Low,Resolved,6
I-00187,U-026,2025-06-22,Logistics,Medium,Open,7
I-00188,U-045,2025-11-05,Training,Critical,Open,14
I-00189,U-033,2025-03-12,Equipment,High,Open,3
I-00190,U-038,2025-08-30,Training,Medium,Open,5
I-00191,U-060,2025-08-12,Safety,Low,Investigating,5
I-00192,U-055,2025-08-19,Safety,Low,Investigating,9
I-00193,U-031,2026-04-08,Safety,High,Resolved,20
I-00194,U-044,2026-08-09,Equipment,Low,Resolved,5
I-00195,U-002,2026-01-23,Safety,High,Open,18
I-00196,U-022,2025-11-14,Equipment,Medium,Resolved,8
I-00197,U-023,2025-03-20,Equipment,Medium,Resolved,14
I-00198,U-045,2026-06-19,Training,Medium,Open,0
I-00199,U-029,2025-10-27,Safety,High,Resolved,14
I-00200,U-027,2025-10-15,Equipment,Critical,Open,0
I-00201,U-057,2025-01-07,Equipment,Low,Open,17
I-00202,U-036,2026-05-13,Safety,Critical,Resolved,19
I-00203,U-048,2026-07-12,Equipment,Medium,Resolved,4
I-00204,U-053,2025-10-06,Safety,Low,Open,12
I-00205,U-012,2026-06-07,Safety,Low,Investigating,17
I-00206,U-051,2025-02-05,Logistics,Medium,Open,16
I-00207,U-007,2026-08-12,Logistics,High,Resolved,20
I-00208,U-042,2025-02-02,Logistics,Critical,Open,2
I-00209,U-033,2026-07-24,Safety,Critical,Investigating,11
I-00210,U-042,2025-02-27,Training,Critical,Investigating,11
I-00211,U-015,2025-10-14,Safety,Low,Open,13
I-00212,U-044,2026-05-20,Safety,Critical,Open,14
I-00213,U-009,2026-04-14,Logistics,High,Open,19
I-00214,U-055,2026-08-03,Training,High,Open,2
I-00215,U-045,2026-03-15,Safety,Low,Resolved,13
I-00216,U-038,2026-06-14,Safety,High,Resolved,5
I-00217,U-042,2025-04-29,Training,Medium,Resolved,7
I-00218,U-004,2025-01-26,Training,High,Resolved,4
I-00219,U-011,2025-09-30,Logistics,Critical,Investigating,20
I-00220,U-007,2026-02-22,Logistics,Low,Open,17
I-00221,U-024,2026-04-20,Safety,Low,Open,0
I-00222,U-055,2026-08-11,Equipment,Low,Investigating,7
I-00223,U-029,2026-07-19,Logistics,Critical,Investigating,11
I-00224,U-043,2026-04-30,Safety,High,Investigating,15
I-00225,U-011,2026-08-04,Safety,Medium,Investigating,2
I-00226,U-042,2025-08-24,Logistics,High,Open,14
I-00227,U-025,2026-05-24,Equipment,Critical,Open,15
I-00228,U-011,2025-12-19,Safety,Critical,Open,11
I-00229,U-040,2025-08-13,Safety,Medium,Open,11
I-00230,U-005,2025-02-17,Safety,Low,Open,19
I-00231,U-056,2026-06-24,Equipment,High,Resolved,13
I-00232,U-007,2025-08-12,Safety,Low,Open,6
I-00233,U-057,2025-12-01,Safety,Critical,Investigating,2
I-00234,U-004,2025-04-05,Equipment,Low,Resolved,8
I-00235,U-046,2025-12-16,Equipment,Critical,Resolved,11
I-00236,U-039,2026-01-21,Equipment,High,Investigating,7
I-00237,U-021,2025-10-10,Logistics,Low,Resolved,13
I-00238,U-025,2025-06-27,Equipment,Low,Open,6
I-00239,U-056,2026-03-31,Equipment,Critical,Open,14
I-00240,U-050,2025-12-19,Logistics,Low,Resolved,2
I-00241,U-022,2025-03-07,Safety,Critical,Investigating,17
I-00242,U-015,2025-08-08,Logistics,Medium,Investigating,2
I-00243,U-019,2025-11-07,Logistics,High,Investigating,11
I-00244,U-029,2025-12-25,Equipment,Low,Open,1
I-00245,U-060,2025-05-20,Logistics,Critical,Resolved,19
I-00246,U-046,2026-03-31,Training,Medium,Investigating,10
I-00247,U-029,2025-03-14,Training,Low,Open,11
I-00248,U-023,2025-05-15,Safety,Critical,Investigating,6
I-00249,U-051,2026-05-23,Training,High,Investigating,8
I-00250,U-001,2025-03-09,Training,Critical,Investigating,16
I-00251,U-056,2025-10-17,Equipment,Critical,Open,11
I-00252,U-017,2025-12-05,Equipment,Medium,Resolved,4
I-00253,U-018,2025-01-30,Equipment,Medium,Open,16
I-00254,U-048,2025-03-16,Equipment,Medium,Resolved,18
I-00255,U-019,2025-07-19,Logistics,Low,Resolved,10
I-00256,U-003,2025-04-20,Safety,Medium,Resolved,7
I-00257,U-037,2025-11-02,Safety,High,Resolved,4
I-00258,U-044,2025-02-27,Safety,High,Open,3
I-00259,U-029,2026-05-10,Training,Low,Resolved,5
I-00260,U-060,2026-06-06,Equipment,Medium,Investigating,18
I-00261,U-024,2025-04-10,Safety,Low,Resolved,13
I-00262,U-057,2026-04-08,Safety,Medium,Investigating,19
I-00263,U-005,2025-03-17,Logistics,Medium,Investigating,14
I-00264,U-042,2026-07-25,Logistics,Critical,Investigating,4
I-00265,U-039,2026-04-29,Training,Critical,Investigating,19
I-00266,U-014,2025-01-03,Logistics,Medium,Open,15
I-00267,U-054,2026-07-22,Equipment,Low,Resolved,18
I-00268,U-045,2025-05-20,Logistics,Low,Resolved,1
I-00269,U-026,2026-06-10,Training,Critical,Investigating,5
I-00270,U-035,2026-05-27,Equipment,High,Investigating,14
I-00271,U-060,2026-02-01,Equipment,High,Resolved,14
I-00272,U-013,2025-04-10,Safety,Low,Open,11
I-00273,U-019,2025-07-04,Training,Critical,Investigating,8
I-00274,U-021,2026-02-22,Training,High,Open,3
I-00275,U-014,2025-06-17,Safety,High,Investigating,2
I-00276,U-013,2026-03-07,Equipment,Medium,Open,4
I-00277,U-040,2025-02-05,Training,Critical,Open,16
I-00278,U-019,2026-01-31,Logistics,High,Open,15
I-00279,U-009,2025-10-22,Safety,Low,Resolved,15
I-00280,U-040,2026-05-10,Safety,Critical,Resolved,0
I-00281,U-035,2025-09-18,Safety,High,Resolved,5
I-00282,U-032,2026-04-08,Safety,Low,Investigating,5
I-00283,U-032,2025-11-26,Safety,Critical,Resolved,6
I-00284,U-049,2026-03-12,Safety,Medium,Open,1
I-00285,U-020,2025-02-28,Logistics,Medium,Open,5
I-00286,U-013,2026-02-01,Equipment,Low,Resolved,18
I-00287,U-052,2026-04-13,Safety,Low,Open,6
I-00288,U-002,2026-05-02,Equipment,Critical,Investigating,2
I-00289,U-052,2026-02-19,Logistics,Low,Resolved,14
I-00290,U-038,2026-03-18,Logistics,Low,Investigating,5
I-00291,U-026,2026-01-24,Logistics,Low,Investigating,2
I-00292,U-028,2026-07-13,Equipment,Critical,Resolved,11
I-00293,U-038,2026-05-20,Safety,Low,Investigating,6
I-00294,U-060,2025-06-15,Safety,Medium,Investigating,2
I-00295,U-043,2025-05-24,Safety,High,Open,19
I-00296,U-052,2026-03-31,Safety,Critical,Open,14
I-00297,U-015,2025-04-22,Logistics,Critical,Open,8
I-00298,U-037,2025-06-03,Training,Medium,Investigating,15
I-00299,U-034,2026-03-01,Safety,Critical,Resolved,8
I-00300,U-001,2025-11-28,Training,High,Resolved,3
I-00301,U-009,2025-01-18,Logistics,Low,Open,12
I-00302,U-033,2026-05-03,Equipment,Critical,Open,3
I-00303,U-018,2025-09-30,Logistics,Critical,Open,11
I-00304,U-034,2025-05-09,Logistics,Low,Resolved,4
I-00305,U-044,2026-01-02,Equipment,Medium,Resolved,18
I-00306,U-044,2026-07-31,Safety,Critical,Resolved,18
I-00307,U-014,2026-03-06,Logistics,High,Open,3
I-00308,U-021,2025-03-11,Safety,Medium,Resolved,12
I-00309,U-005,2025-01-08,Safety,Medium,Resolved,4
I-00310,U-031,2026-05-14,Training,Critical,Resolved,11
I-00311,U-013,2026-08-04,Equipment,Critical,Investigating,20
I-00312,U-041,2026-04-24,Equipment,Medium,Investigating,9
I-00313,U-011,2026-03-23,Logistics,Critical,Investigating,6
I-00314,U-002,2025-03-31,Training,Medium,Open,10
I-00315,U-043,2025-05-21,Logistics,High,Open,9
I-00316,U-003,2026-04-14,Safety,Critical,Open,15
I-00317,U-026,2026-03-23,Training,Critical,Resolved,9
I-00318,U-034,2026-03-21,Safety,High,Investigating,8
I-00319,U-008,2025-08-23,Safety,Low,Investigating,12
I-00320,U-026,2025-02-15,Equipment,Critical,Open,19
I-00321,U-020,2025-12-08,Safety,Medium,Resolved,11
I-00322,U-056,2026-02-25,Safety,Low,Open,8
I-00323,U-051,2026-06-17,Safety,Critical,Resolved,2
I-00324,U-004,2026-03-16,Training,High,Resolved,0
I-00325,U-014,2026-02-13,Equipment,Medium,Investigating,5
I-00326,U-015,2026-05-02,Training,Low,Investigating,20
I-00327,U-019,2025-08-03,Equipment,Medium,Resolved,13
I-00328,U-001,2025-06-12,Logistics,High,Investigating,5
I-00329,U-019,2025-02-26,Logistics,Medium,Investigating,10
I-00330,U-039,2025-09-23,Training,Critical,Resolved,1
I-00331,U-052,2025-05-28,Equipment,Low,Investigating,20
I-00332,U-051,2025-03-08,Safety,High,Investigating,9
I-00333,U-003,2025-01-23,Logistics,Critical,Investigating,3
I-00334,U-024,2026-06-22,Logistics,Critical,Resolved,10
I-00335,U-044,2025-05-15,Training,Low,Resolved,17
I-00336,U-032,2025-10-07,Safety,High,Resolved,20
I-00337,U-024,2025-01-18,Logistics,High,Investigating,13
I-00338,U-017,2025-11-10,Logistics,Medium,Resolved,5
I-00339,U-007,2025-11-08,Safety,Critical,Investigating,5
I-00340,U-055,2025-10-10,Safety,High,Open,12
I-00341,U-024,2025-10-25,Training,Low,Resolved,2
I-00342,U-046,2026-03-13,Safety,Low,Resolved,5
I-00343,U-046,2025-05-22,Equipment,Critical,Resolved,10
I-00344,U-059,2026-03-09,Logistics,Medium,Investigating,12
I-00345,U-009,2025-11-06,Equipment,High,Resolved,3
I-00346,U-057,2026-04-20,Safety,High,Resolved,1
I-00347,U-035,2026-02-03,Training,Critical,Open,9
I-00348,U-027,2025-06-05,Safety,Low,Resolved,7
I-00349,U-053,2026-01-26,Logistics,High,Investigating,8
I-00350,U-006,2025-06-24,Equipment,Critical,Investigating,15
I-00351,U-001,2025-09-14,Training,High,Investigating,2
I-00352,U-035,2026-02-01,Training,Low,Open,19
I-00353,U-004,2025-09-18,Safety,Low,Resolved,13
I-00354,U-009,2026-06-18,Equipment,High,Resolved,10
I-00355,U-041,2026-05-09,Safety,High,Open,14
I-00356,U-003,2025-08-12,Safety,Low,Resolved,5
I-00357,U-060,2025-03-07,Equipment,High,Resolved,18
I-00358,U-053,2025-12-10,Equipment,High,Open,20
I-00359,U-009,2025-10-23,Safety,Medium,Investigating,13
I-00360,U-026,2025-07-02,Safety,Critical,Resolved,10
I-00361,U-026,2026-02-27,Safety,Low,Resolved,4
I-00362,U-033,2026-07-16,Training,High,Open,2
I-00363,U-054,2025-03-20,Safety,Medium,Open,2
I-00364,U-023,2025-02-04,Equipment,Critical,Open,10
I-00365,U-024,2025-09-18,Equipment,Critical,Resolved,14
I-00366,U-043,2025-04-04,Training,Low,Open,9
I-00367,U-059,2026-01-02,Equipment,Critical,Investigating,9
I-00368,U-047,2026-03-19,Safety,Low,Resolved,8
I-00369,U-060,2025-11-25,Equipment,Critical,Open,10
I-00370,U-046,2025-04-22,Training,High,Resolved,12
I-00371,U-018,2025-04-07,Equipment,Critical,Open,17
I-00372,U-007,2025-04-19,Equipment,Medium,Open,2
I-00373,U-020,2025-09-26,Logistics,Medium,Investigating,13
I-00374,U-033,2025-02-03,Equipment,High,Investigating,8
I-00375,U-059,2026-07-12,Training,Critical,Investigating,5
I-00376,U-055,2026-02-26,Training,Critical,Open,1
I-00377,U-023,2026-02-25,Equipment,High,Investigating,6
I-00378,U-057,2025-05-30,Safety,Low,Resolved,2
I-00379,U-028,2025-02-14,Logistics,Medium,Resolved,7
I-00380,U-037,2025-12-01,Logistics,Low,Open,12
I-00381,U-006,2025-11-29,Safety,Low,Open,6
I-00382,U-032,2025-09-22,Equipment,Low,Open,0
I-00383,U-040,2026-03-06,Logistics,Low,Open,15
I-00384,U-030,2025-12-02,Logistics,Low,Investigating,11
I-00385,U-051,2025-12-05,Logistics,Medium,Resolved,6
I-00386,U-037,2025-10-18,Logistics,Critical,Investigating,13
I-00387,U-055,2025-03-06,Training,High,Investigating,16
I-00388,U-051,2026-01-19,Safety,High,Open,19
I-00389,U-047,2026-07-18,Safety,High,Resolved,19
I-00390,U-050,2025-03-04,Training,Critical,Open,6
I-00391,U-053,2025-05-12,Logistics,Critical,Open,10
I-00392,U-047,2025-04-10,Safety,Medium,Open,11
I-00393,U-055,2025-09-12,Safety,Critical,Open,7
I-00394,U-015,2025-01-01,Equipment,High,Investigating,15
I-00395,U-060,2026-05-07,Logistics,Critical,Resolved,20
I-00396,U-036,2026-04-02,Safety,Critical,Investigating,2
I-00397,U-004,2026-06-05,Safety,Low,Open,15
I-00398,U-042,2025-06-09,Logistics,Critical,Open,5
I-00399,U-019,2026-06-24,Training,High,Open,10
I-00400,U-055,2026-04-04,Safety,Medium,Investigating,6
I-00401,U-019,2026-08-11,Safety,Critical,Open,1
I-00402,U-004,2025-08-27,Training,Critical,Resolved,1
I-00403,U-022,2026-07-01,Equipment,Medium,Resolved,9
I-00404,U-054,2025-10-15,Equipment,Critical,Investigating,15
I-00405,U-024,2025-03-02,Logistics,Medium,Investigating,17
I-00406,U-022,2025-08-02,Equipment,Critical,Resolved,6
I-00407,U-025,2025-08-27,Training,Low,Open,11
I-00408,U-009,2025-12-31,Logistics,High,Open,20
I-00409,U-026,2025-12-29,Safety,Critical,Investigating,6
I-00410,U-046,2025-08-21,Safety,High,Investigating,1
I-00411,U-049,2026-02-18,Logistics,High,Open,8
I-00412,U-033,2025-05-25,Logistics,Medium,Investigating,4
I-00413,U-022,2026-02-21,Equipment,Medium,Open,1
I-00414,U-038,2025-06-01,Equipment,High,Open,2
I-00415,U-031,2026-05-01,Safety,High,Investigating,6
I-00416,U-028,2026-05-18,Equipment,Low,Resolved,15
I-00417,U-051,2025-10-25,Equipment,Low,Open,10
I-00418,U-009,2025-04-15,Equipment,Critical,Resolved,19
I-00419,U-057,2025-09-01,Logistics,Low,Resolved,18
I-00420,U-032,2025-02-10,Logistics,Medium,Resolved,19
I-00421,U-024,2026-01-08,Safety,Medium,Open,0
I-00422,U-052,2025-09-04,Logistics,Critical,Open,10
I-00423,U-039,2025-10-30,Safety,Medium,Open,0
I-00424,U-043,2026-04-29,Training,Critical,Investigating,9
I-00425,U-021,2025-09-13,Logistics,Critical,Open,19
I-00426,U-026,2025-09-17,Equipment,Medium,Investigating,13
I-00427,U-014,2026-06-05,Training,Low,Investigating,0
I-00428,U-013,2025-04-23,Equipment,Low,Resolved,2
I-00429,U-020,2025-09-29,Equipment,Medium,Resolved,2
I-00430,U-020,2025-12-06,Training,Low,Open,4
I-00431,U-031,2025-10-06,Safety,High,Investigating,13
I-00432,U-017,2025-07-07,Equipment,High,Investigating,18
I-00433,U-009,2025-05-20,Logistics,Low,Resolved,5
I-00434,U-041,2025-01-10,Logistics,High,Investigating,2
I-00435,U-043,2025-04-19,Training,Critical,Open,19
I-00436,U-053,2026-05-14,Equipment,Medium,Resolved,16
I-00437,U-057,2025-10-20,Training,Medium,Resolved,3
I-00438,U-049,2025-06-19,Safety,Critical,Investigating,1
I-00439,U-055,2025-10-03,Safety,Low,Resolved,18
I-00440,U-036,2025-08-19,Logistics,Critical,Open,2
I-00441,U-031,2025-05-29,Safety,High,Resolved,2
I-00442,U-035,2025-09-28,Logistics,High,Investigating,1
I-00443,U-004,2025-03-03,Training,High,Resolved,7
I-00444,U-042,2025-04-03,Equipment,Medium,Open,13
I-00445,U-020,2025-07-10,Equipment,Medium,Investigating,5
I-00446,U-020,2025-11-12,Training,Low,Open,16
I-00447,U-037,2025-08-02,Training,Critical,Investigating,20
I-00448,U-018,2025-11-25,Equipment,Medium,Open,10
I-00449,U-013,2026-04-30,Logistics,High,Open,5
I-00450,U-041,2026-02-26,Logistics,Low,Investigating,9
I-00451,U-036,2025-09-19,Equipment,High,Open,9
I-00452,U-023,2025-10-21,Logistics,Medium,Investigating,1
I-00453,U-021,2025-12-18,Equipment,High,Investigating,11
I-00454,U-035,2026-05-28,Training,Low,Resolved,20
I-00455,U-034,2026-08-03,Safety,Medium,Investigating,15
I-00456,U-030,2025-09-16,Training,High,Resolved,10
I-00457,U-014,2025-04-18,Safety,Low,Open,1
I-00458,U-052,2026-06-30,Equipment,Medium,Resolved,2
I-00459,U-058,2025-07-10,Safety,Critical,Open,20
I-00460,U-058,2026-04-09,Logistics,Medium,Investigating,2
I-00461,U-049,2026-08-12,Logistics,Medium,Resolved,3
I-00462,U-041,2025-01-31,Equipment,Medium,Open,3
I-00463,U-010,2026-03-24,Training,Medium,Resolved,16
I-00464,U-007,2025-01-02,Safety,Critical,Investigating,19
I-00465,U-035,2026-07-16,Logistics,Low,Open,11
