personnel_id,unit_id,rank,role,specialization,training_status,training_completion_percentage,deployment_status,joining_date
P-00083,U-034,Lead,Engineer,Planning,In Progress,84.3,Training,2023-07-08
P-00084,U-006,Officer,Analyst,Operations,In Progress,76.2,Training,2019-03-05
P-00085,U-055,Officer,Medic,Operations,In Progress,62.2,Training,2022-06-29
P-00086,U-053,Junior,Medic,Systems,In Progress,89.2,Deployed,2020-10-30
P-00087,U-021,Officer,Logistics,Systems,In Progress,60.2,Training,2024-02-01
P-00088,U-030,Senior,Logistics,Operations,In Progress,73.6,Training,2023-08-04
P-00089,U-041,Junior,Engineer,Operations,In Progress,74.9,Training,2019-06-21
P-00090,U-060,Officer,Operator,Systems,In Progress,68.0,Training,2024-10-29
P-00091,U-052,Senior,Analyst,Systems,In Progress,65.8,Training,2022-07-30
P-00092,U-006,Junior,Medic,Systems,In Progress,65.1,Training,2019-09-23
P-00093,U-032,Lead,Logistics,Operations,Complete,97.0,Deployed,2023-05-31
P-00094,U-031,Senior,Medic,Maintenance,In Progress,66.0,Training,2023-09-13
P-00095,U-048,Junior,Analyst,Planning,Complete,94.6,Deployed,2023-09-11
P-00096,U-018,Lead,Analyst,Planning,Complete,91.9,Available,2023-01-04
P-00097,U-035,Lead,Logistics,Planning,In Progress,76.8,Deployed,2021-08-11
P-00098,U-056,Senior,Logistics,Planning,In Progress,63.5,Available,2022-08-10
P-00099,U-003,Officer,Medic,Planning,In Progress,69.3,Training,2025-04-24
P-00100,U-010,Junior,Engineer,Operations,In Progress,77.3,Available,2022-12-09
P-00101,U-007,Officer,Operator,Maintenance,In Progress,78.7,Deployed,2025-05-05
P-00102,U-010,Lead,Analyst,Planning,In Progress,58.4,Training,2018-11-25
P-00103,U-055,Officer,Analyst,Planning,In Progress,69.8,Training,2018-05-28
P-00104,U-040,Lead,Engineer,Systems,In Progress,58.1,Deployed,2019-02-08
P-00105,U-049,Junior,Medic,Maintenance,In Progress,83.5,Training,2021-05-11
P-00106,U-058,Lead,Operator,Operations,In Progress,56.3,Deployed,2022-03-16
P-00107,U-028,Officer,Logistics,Maintenance,In Progress,61.6,Available,2019-12-19
P-00108,U-006,Officer,Logistics,Maintenance,In Progress,82.4,Deployed,2024-07-16
P-00109,U-010,Lead,Medic,Operations,In Progress,65.4,Training,2018-02-08
P-00110,U-058,Lead,Logistics,Maintenance,Complete,91.2,Available,2022-12-15
P-00111,U-023,Lead,Medic,Operations,Complete,99.4,Deployed,2021-05-22
P-00112,U-013,Officer,Operator,Maintenance,Complete,100.0,Deployed,2024-05-31
P-00113,U-023,Lead,Operator,Planning,In Progress,80.9,Deployed,2018-02-03
P-00114,U-037,Junior,Logistics,Planning,Complete,93.9,Deployed,2020-07-31
P-00115,U-039,Senior,Engineer,Operations,Complete,91.1,Training,2026-01-31
P-00116,U-050,Senior,Operator,Systems,In Progress,84.7,Deployed,2022-12-11
P-00117,U-003,Senior,Operator,Operations,In Progress,81.1,Deployed,2022-08-29
P-00118,U-012,Lead,Logistics,Operations,In Progress,64.0,Available,2020-11-18
P-00119,U-059,Officer,Analyst,Operations,Complete,92.1,Available,2023-04-03
P-00120,U-005,Senior,Medic,Operations,In Progress,61.3,Available,2022-06-05
P-00121,U-001,Junior,Medic,Operations,In Progress,66.9,Training,2025-07-16
P-00122,U-017,Lead,Operator,Maintenance,In Progress,81.3,Deployed,2018-04-13
P-00123,U-040,Lead,Logistics,Maintenance,Complete,94.8,Training,2018-09-16
P-00124,U-041,Lead,Medic,Systems,Complete,92.1,Available,2018-07-05
P-00125,U-003,Officer,Operator,Systems,In Progress,68.7,Available,2024-01-11
P-00126,U-009,Lead,Logistics,Planning,In Progress,72.5,Training,2026-02-24
P-00127,U-010,Junior,Medic,Planning,Complete,94.8,Deployed,2018-05-15
P-00128,U-045,Officer,Medic,Maintenance,In Progress,71.7,Deployed,2019-02-11
P-00129,U-044,Lead,Operator,Planning,In Progress,71.5,Deployed,2020-02-17
P-00130,U-008,Officer,Operator,Maintenance,Complete,97.7,Training,2025-03-04
P-00131,U-039,Junior,Analyst,Maintenance,Complete,98.7,Available,2024-05-01
P-00132,U-014,Senior,Logistics,Maintenance,In Progress,58.1,Available,2021-09-07
P-00133,U-050,Junior,Analyst,Maintenance,In Progress,61.6,Available,2024-01-22
P-00134,U-017,Junior,Operator,Maintenance,Complete,90.9,Available,2022-01-07
P-00135,U-051,Lead,Operator,Maintenance,Complete,90.5,Deployed,2018-08-03
P-00136,U-009,Junior,Operator,Planning,In Progress,88.4,Deployed,2022-01-22
P-00137,U-033,Officer,Logistics,Maintenance,In Progress,81.7,Training,2018-06-27
P-00138,U-047,Lead,Medic,Systems,Complete,90.2,Available,2023-05-16
P-00139,U-055,Junior,Medic,Planning,In Progress,73.1,Available,2018-11-27
P-00140,U-021,Junior,Engineer,Operations,In Progress,82.4,Training,2025-02-06
P-00141,U-038,Lead,Medic,Operations,In Progress,79.7,Deployed,2023-09-02
P-00142,U-039,Junior,Logistics,Maintenance,In Progress,74.4,Deployed,2023-01-24
P-00143,U-057,Lead,Medic,Planning,In Progress,65.3,Deployed,2026-03-08
P-00144,U-007,Lead,Analyst,Operations,In Progress,69.1,Available,2025-09-14
P-00145,U-060,Junior,Operator,Systems,In Progress,76.3,Deployed,2019-01-31
P-00146,U-048,Senior,Logistics,Systems,In Progress,88.2,Training,2024-04-19
P-00147,U-036,Junior,Medic,Operations,In Progress,69.8,Training,2022-09-29
P-00148,U-056,Junior,Analyst,Operations,Complete,96.2,Deployed,2019-03-01
P-00149,U-037,Senior,Medic,Maintenance,In Progress,77.8,Available,2021-12-05
P-00150,U-055,Junior,Analyst,Maintenance,In Progress,80.0,Deployed,2024-04-16
P-00151,U-050,Junior,Logistics,Operations,Complete,91.8,Available,2020-01-09
P-00152,U-018,Lead,Analyst,Operations,In Progress,86.6,Available,2020-01-14
P-00153,U-056,Officer,Operator,Maintenance,In Progress,61.4,Training,2025-02-06
P-00154,U-002,Senior,Medic,Planning,In Progress,59.1,Deployed,2021-10-28
P-00155,U-011,Lead,Logistics,Systems,In Progress,71.7,Available,2019-09-30
P-00156,U-011,Junior,Operator,Operations,In Progress,88.9,Deployed,2025-06-04
P-00157,U-028,Officer,Medic,Operations,In Progress,76.9,Available,2023-09-30
P-00158,U-008,Junior,Analyst,Planning,In Progress,70.5,Training,2025-06-25
P-00159,U-020,Officer,Logistics,Systems,In Progress,57.0,Available,2020-04-17
P-00160,U-020,Senior,Analyst,Operations,Complete,97.5,Deployed,2019-05-07
P-00161,U-001,Officer,Engineer,Maintenance,In Progress,77.4,Deployed,2023-12-22
P-00162,U-046,Lead,Operator,Planning,In Progress,65.4,Training,2018-06-23
P-00163,U-028,Junior,Analyst,Planning,In Progress,55.8,Training,2022-07-15
P-00164,U-046,Lead,Operator,Planning,In Progress,83.8,Available,2021-08-23
P-00165,U-011,Officer,Analyst,Systems,Complete,91.1,Deployed,2019-03-10
P-00166,U-016,Officer,Logistics,Systems,In Progress,74.6,Deployed,2021-06-24
P-00167,U-048,Lead,Engineer,Systems,In Progress,70.3,Training,2025-02-06
P-00168,U-008,Senior,Analyst,Operations,In Progress,78.9,Training,2025-03-28
P-00169,U-053,Junior,Engineer,Operations,In Progress,61.6,Available,2019-12-12
P-00170,U-039,Junior,Engineer,Planning,In Progress,61.9,Deployed,2024-04-28
P-00171,U-049,Lead,Analyst,Maintenance,In Progress,81.1,Deployed,2018-10-07
P-00172,U-031,Lead,Analyst,Systems,In Progress,74.9,Deployed,2023-09-10
P-00173,U-005,Officer,Operator,Systems,In Progress,69.0,Deployed,2021-03-21
P-00174,U-005,Junior,Logistics,Planning,In Progress,84.0,Deployed,2024-07-05
P-00175,U-036,Junior,Medic,Maintenance,Complete,97.9,Deployed,2024-10-14
P-00176,U-031,Junior,Medic,Systems,In Progress,77.6,Deployed,2026-01-04
P-00177,U-006,Senior,Operator,Maintenance,In Progress,77.7,Training,2022-11-29
P-00178,U-029,Senior,Analyst,Operations,In Progress,78.6,Deployed,2022-05-06
P-00179,U-027,Junior,Analyst,Systems,In Progress,89.9,Deployed,2019-01-23
P-00180,U-036,Lead,Analyst,Maintenance,In Progress,85.5,Deployed,2018-11-30
P-00181,U-038,Lead,Analyst,Planning,In Progress,84.9,Available,2024-09-03
P-00182,U-046,Lead,Logistics,Planning,Complete,97.2,Training,2021-09-07
P-00183,U-053,Junior,Medic,Operations,In Progress,60.8,Available,2022-01-25
P-00184,U-020,Senior,Analyst,Planning,In Progress,63.1,Available,2020-07-16
P-00185,U-009,Lead,Operator,Systems,In Progress,62.0,Training,2021-10-11
P-00186,U-057,Senior,Logistics,Planning,In Progress,89.5,Available,2019-10-27
P-00187,U-012,Senior,Medic,Systems,Complete,92.4,Deployed,2022-02-01
P-00188,U-044,Officer,Logistics,Operations,In Progress,87.4,Training,2023-01-13
P-00189,U-015,Lead,Medic,Maintenance,In Progress,79.0,Deployed,2025-08-10
P-00190,U-037,Officer,Analyst,Planning,Complete,99.3,Training,2023-12-01
P-00191,U-027,Senior,Logistics,Maintenance,Complete,98.5,Deployed,2018-08-02
P-00192,U-042,Lead,Logistics,Systems,In Progress,76.6,Training,2023-10-15
P-00193,U-055,Junior,Engineer,Operations,In Progress,60.6,Deployed,2023-10-04
P-00194,U-010,Junior,Engineer,Planning,Complete,92.4,Deployed,2018-04-20
P-00195,U-027,Lead,Engineer,Planning,In Progress,57.4,Available,2022-03-16
P-00196,U-015,Junior,Analyst,Maintenance,In Progress,56.3,Available,2018-06-06
P-00197,U-019,Officer,Engineer,Planning,Complete,96.3,Deployed,2024-11-25
P-00198,U-001,Junior,Analyst,Maintenance,Complete,95.8,Available,2024-02-26
P-00199,U-047,Officer,Operator,Operations,In Progress,82.4,Available,2021-05-18
P-00200,U-008,Officer,Logistics,Planning,In Progress,57.1,Available,2019-03-31
P-00201,U-054,Junior,Logistics,Maintenance,Complete,95.7,Training,2019-08-12
P-00202,U-019,Lead,Engineer,Planning,In Progress,74.3,Available,2025-06-14
P-00203,U-043,Lead,Operator,Systems,In Progress,58.9,Deployed,2023-04-10
P-00204,U-003,Lead,Analyst,Systems,In Progress,83.6,Deployed,2018-10-04
P-00205,U-023,Junior,Logistics,Operations,In Progress,65.9,Available,2018-07-01
P-00206,U-023,Senior,Medic,Planning,In Progress,79.6,Training,2020-01-17
P-00207,U-052,Officer,Operator,Operations,In Progress,61.1,Available,2018-06-29
P-00208,U-051,Junior,Analyst,Operations,In Progress,64.0,Training,2022-06-20
P-00209,U-053,Lead,Operator,Maintenance,In Progress,79.4,Deployed,2022-01-02
P-00210,U-056,Lead,Analyst,Systems,Complete,90.1,Deployed,2022-11-25
P-00211,U-057,Officer,Medic,Operations,In Progress,73.0,Available,2023-07-26
P-00212,U-045,Lead,Operator,Planning,In Progress,77.4,Available,2022-10-30
P-00213,U-039,Senior,Logistics,Operations,Complete,99.8,Deployed,2019-02-25
P-00214,U-006,Lead,Analyst,Planning,In Progress,69.8,Training,2026-01-18
P-00215,U-028,Officer,Analyst,Planning,In Progress,62.5,Available,2026-02-25
P-00216,U-056,Officer,Analyst,Systems,Complete,96.0,Available,2025-07-12
P-00217,U-041,Senior,Operator,Maintenance,In Progress,73.3,Training,2025-08-09
P-00218,U-051,Senior,Operator,Maintenance,In Progress,74.7,Training,2022-02-09
P-00219,U-024,Junior,Logistics,Maintenance,In Progress,72.2,Training,2023-01-17
P-00220,U-024,Junior,Logistics,Maintenance,In Progress,71.7,Training,2022-02-12
P-00221,U-026,Lead,Engineer,Systems,In Progress,69.1,Available,2020-02-02
P-00222,U-032,Junior,Analyst,Operations,In Progress,78.3,Training,2023-01-02
P-00223,U-014,Lead,Medic,Maintenance,Complete,99.8,Available,2019-07-10
P-00224,U-055,Senior,Medic,Systems,In Progress,58.3,Training,2021-08-02
P-00225,U-043,Junior,Logistics,Operations,In Progress,70.6,Deployed,2019-10-08
P-00226,U-046,Senior,Analyst,Maintenance,In Progress,86.9,Available,2020-04-03
P-00227,U-051,Officer,Operator,Operations,In Progress,61.2,Training,2024-06-02
P-00228,U-024,Senior,Logistics,Systems,In Progress,76.0,Available,2021-06-20
P-00229,U-026,Officer,Logistics,Planning,Complete,100.0,Deployed,2024-06-12
P-00230,U-005,Lead,Operator,Planning,In Progress,60.6,Deployed,2025-08-17
P-00231,U-034,Senior,Engineer,Planning,In Progress,70.5,Training,2018-08-15
P-00232,U-054,Senior,Analyst,Maintenance,In Progress,60.6,Available,2021-08-14
P-00233,U-060,Lead,Logistics,Operations,In Progress,86.9,Available,2020-10-23
P-00234,U-013,Lead,Engineer,Operations,In Progress,83.6,Training,2023-12-26
P-00235,U-006,Senior,Logistics,Maintenance,In Progress,77.6,Available,2025-05-22
P-00236,U-040,Lead,Logistics,Systems,In Progress,87.4,Available,2018-11-29
P-00237,U-003,Lead,Engineer,Planning,Complete,97.7,Training,2025-03-02
P-00238,U-002,Lead,Analyst,Planning,In Progress,77.4,Available,2025-09-06
P-00239,U-026,Junior,Operator,Maintenance,In Progress,68.4,Deployed,2022-08-30
P-00240,U-031,Lead,Logistics,Maintenance,In Progress,75.9,Deployed,2026-01-21
P-00241,U-021,Lead,Medic,Maintenance,In Progress,88.0,Deployed,2023-10-11
P-00242,U-036,Senior,Medic,Systems,In Progress,59.8,Deployed,2023-01-16
P-00243,U-016,Junior,Analyst,Planning,In Progress,61.3,Training,2022-09-09
P-00244,U-016,Senior,Analyst,Operations,Complete,98.3,Available,2019-10-15
P-00245,U-032,Officer,Medic,Operations,Complete,99.8,Deployed,2018-04-05
P-00246,U-006,Officer,Engineer,Maintenance,Complete,97.5,Training,2021-12-16
P-00247,U-004,Officer,Logistics,Planning,In Progress,57.3,Deployed,2024-01-08
P-00248,U-001,Officer,Engineer,Operations,Complete,93.1,Training,2022-02-07
P-00249,U-049,Junior,Medic,Systems,In Progress,73.1,Training,2024-04-20
P-00250,U-013,Lead,Operator,Planning,In Progress,71.3,Training,2023-01-19
P-00251,U-049,Junior,Engineer,Systems,In Progress,79.7,Deployed,2022-03-09
P-00252,U-051,Lead,Engineer,Maintenance,Complete,99.4,Training,2023-09-17
P-00253,U-026,Junior,Operator,Maintenance,In Progress,77.5,Training,2021-09-26
P-00254,U-052,Officer,Engineer,Maintenance,In Progress,76.3,Deployed,2024-11-16
P-00255,U-021,Lead,Logistics,Operations,In Progress,62.3,Training,2023-09-19
P-00256,U-035,Lead,Medic,Systems,In Progress,77.0,Deployed,2021-09-18
P-00257,U-044,Officer,Logistics,Operations,In Progress,59.9,Training,2025-09-19
P-00258,U-041,Officer,Analyst,Maintenance,In Progress,56.2,Training,2018-07-30
P-00259,U-038,Officer,Engineer,Maintenance,In Progress,76.6,Available,2024-06-03
P-00260,U-045,Junior,Medic,Operations,In Progress,59.9,Deployed,2019-09-13
P-00261,U-027,Officer,Logistics,Planning,In Progress,86.1,Training,2026-02-27
P-00262,U-004,Senior,Logistics,Operations,In Progress,86.8,Training,2023-05-14
P-00263,U-034,Senior,Medic,Operations,In Progress,72.0,Training,2021-12-22
P-00264,U-044,Lead,Logistics,Planning,In Progress,89.7,Available,2020-10-06
P-00265,U-018,Senior,Analyst,Operations,In Progress,80.1,Training,2020-04-29
P-00266,U-045,Lead,Medic,Operations,In Progress,86.7,Training,2026-02-03
P-00267,U-018,Officer,Medic,Operations,In Progress,68.0,Available,2021-04-04
P-00268,U-003,Junior,Analyst,Planning,In Progress,67.9,Training,2020-11-16
P-00269,U-048,Senior,Logistics,Operations,In Progress,76.6,Training,2025-10-22
P-00270,U-018,Senior,Engineer,Systems,In Progress,61.2,Training,2023-12-16
P-00271,U-015,Junior,Operator,Planning,In Progress,83.7,Deployed,2026-01-17
P-00272,U-031,Senior,Operator,Maintenance,In Progress,59.5,Deployed,2025-04-28
P-00273,U-060,Officer,Medic,Maintenance,Complete,94.6,Deployed,2021-08-08
P-00274,U-019,Junior,Logistics,Maintenance,In Progress,84.1,Training,2026-02-09
P-00275,U-055,Senior,Medic,Maintenance,Complete,97.2,Available,2022-06-15
P-00276,U-051,Lead,Operator,Systems,In Progress,77.3,Deployed,2024-05-15
P-00277,U-039,Lead,Analyst,Planning,In Progress,59.8,Training,2024-02-04
P-00278,U-034,Senior,Logistics,Planning,In Progress,77.2,Deployed,2020-02-29
P-00279,U-052,Senior,Medic,Operations,In Progress,60.1,Training,2020-02-02
P-00280,U-001,Lead,Logistics,Maintenance,In Progress,88.1,Available,2024-11-07
P-00281,U-055,Officer,Medic,Operations,In Progress,83.7,Available,2022-06-30
P-00282,U-043,Senior,Medic,Operations,In Progress,59.3,Available,2018-01-28
P-00283,U-017,Officer,Analyst,Operations,In Progress,72.3,Deployed,2024-07-13
P-00284,U-047,Lead,Analyst,Maintenance,In Progress,80.8,Available,2025-06-28
P-00285,U-008,Senior,Medic,Operations,In Progress,75.9,Training,2019-04-26
P-00286,U-041,Lead,Analyst,Maintenance,Complete,96.2,Available,2019-07-02
P-00287,U-031,Lead,Medic,Planning,In Progress,61.9,Training,2025-06-13
P-00288,U-053,Senior,Logistics,Systems,In Progress,64.8,Training,2023-01-04
P-00289,U-034,Junior,Logistics,Systems,In Progress,86.7,Available,2024-02-22
P-00290,U-058,Senior,Engineer,Operations,In Progress,77.7,Training,2022-12-15
P-00291,U-008,Officer,Operator,Planning,In Progress,85.6,Available,2023-02-01
P-00292,U-009,Officer,Logistics,Systems,In Progress,78.1,Training,2023-03-09
P-00293,U-044,Junior,Medic,Operations,Complete,91.3,Available,2020-06-11
P-00294,U-038,Officer,Analyst,Systems,In Progress,58.3,Training,2018-09-04
P-00295,U-060,Officer,Operator,Operations,Complete,95.2,Deployed,2020-01-08
P-00296,U-050,Officer,Analyst,Planning,In Progress,61.1,Deployed,2022-03-27
P-00297,U-025,Senior,Analyst,Systems,In Progress,58.6,Available,2024-01-10
P-00298,U-026,Senior,Operator,Systems,In Progress,78.8,Deployed,2023-03-12
P-00299,U-044,Officer,Logistics,Planning,In Progress,87.4,Available,2020-10-10
P-00300,U-030,Lead,Engineer,Systems,In Progress,70.6,Available,2025-05-28
P-00301,U-027,Junior,Engineer,Maintenance,In Progress,82.7,Available,2019-02-18
P-00302,U-039,Junior,Engineer,Systems,In Progress,56.5,Deployed,2022-12-03
P-00303,U-015,Junior,Engineer,Operations,In Progress,79.3,Available,2026-03-16
P-00304,U-037,Lead,Engineer,Operations,In Progress,69.4,Available,2025-05-28
P-00305,U-034,Lead,Analyst,Systems,In Progress,64.9,Training,2024-08-20
P-00306,U-057,Senior,Medic,Planning,In Progress,88.1,Available,2021-11-11
P-00307,U-042,Lead,Medic,Planning,In Progress,85.2,Available,2021-05-13
P-00308,U-025,Officer,Engineer,Maintenance,In Progress,63.3,Deployed,2025-12-08
P-00309,U-010,Junior,Logistics,Planning,Complete,91.3,Deployed,2024-04-01
P-00310,U-034,Senior,Analyst,Maintenance,In Progress,61.0,Deployed,2025-04-02
P-00311,U-006,Lead,Operator,Maintenance,Complete,96.5,Available,2021-01-04
P-00312,U-025,Junior,Operator,Maintenance,In Progress,85.3,Training,2026-02-14
P-00313,U-043,Officer,Engineer,Operations,In Progress,80.1,Deployed,2018-03-04
P-00314,U-014,Junior,Medic,Maintenance,Complete,97.2,Training,2024-10-11
P-00315,U-046,Senior,Logistics,Operations,In Progress,64.2,Deployed,2022-04-09
P-00316,U-030,Lead,Analyst,Operations,In Progress,79.0,Deployed,2023-10-02
P-00317,U-057,Junior,Medic,Operations,In Progress,77.4,Available,2022-02-27
P-00318,U-021,Senior,Engineer,Systems,In Progress,73.6,Deployed,2024-03-16
P-00319,U-060,Officer,Analyst,Maintenance,In Progress,81.3,Available,2021-09-13
P-00320,U-015,Senior,Medic,Operations,In Progress,72.1,Deployed,2023-06-25
P-00321,U-047,Officer,Medic,Maintenance,In Progress,83.9,Training,2021-12-13
P-00322,U-011,Officer,Engineer,Systems,In Progress,61.3,Training,2018-05-19
P-00323,U-054,Junior,Operator,Planning,Complete,93.1,Available,2025-01-27
P-00324,U-015,Senior,Operator,Maintenance,In Progress,58.1,Training,2023-02-11
P-00325,U-024,Officer,Medic,Systems,In Progress,57.7,Available,2023-12-20
P-00326,U-036,Junior,Logistics,Operations,In Progress,73.5,Training,2021-03-20
P-00327,U-002,Officer,Engineer,Systems,In Progress,77.6,Available,2023-11-18
P-00328,U-010,Lead,Analyst,Operations,In Progress,65.8,Deployed,2018-11-20
P-00329,U-024,Officer,Logistics,Maintenance,Complete,98.2,Training,2020-07-14
P-00330,U-020,Junior,Operator,Systems,In Progress,85.8,Deployed,2022-04-03
P-00331,U-025,Junior,Operator,Maintenance,In Progress,79.9,Available,2023-08-10
P-00332,U-055,Lead,Logistics,Systems,In Progress,74.5,Training,2018-06-24
P-00333,U-015,Officer,Analyst,Systems,In Progress,64.5,Available,2025-09-04
P-00334,U-060,Junior,Engineer,Operations,In Progress,67.6,Available,2020-04-28
