training_id,unit_id,personnel_id,training_type,training_date,completion_status,score,certification_status
T-00061,U-012,P-00014,Safety,2025-09-07,Completed,78.7,Pending
T-00062,U-006,P-01859,Leadership,2025-03-05,Incomplete,56.8,Pending
T-00063,U-055,P-00085,Advanced,2025-05-24,Incomplete,59.5,Pending
T-00064,U-004,P-00543,Advanced,2026-02-10,Completed,87.6,Certified
T-00065,U-012,P-02293,Core,2025-11-23,Completed,92.3,Certified
T-00066,U-026,P-00393,Core,2025-05-05,Completed,93.0,Certified
T-00067,U-014,P-00314,Core,2026-01-23,Completed,89.3,Certified
T-00068,U-032,P-02320,Safety,2025-04-25,Incomplete,63.8,Pending
T-00069,U-005,P-00022,Leadership,2026-03-23,Completed,90.2,Certified
T-00070,U-023,P-02524,Leadership,2025-03-08,Completed,78.3,Pending
T-00071,U-028,P-00163,Core,2025-10-16,Completed,92.7,Certified
T-00072,U-052,P-02515,Core,2026-03-12,Incomplete,68.7,Pending
T-00073,U-017,P-00940,Advanced,2025-06-05,Completed,92.6,Certified
T-00074,U-042,P-01487,Leadership,2025-09-21,Incomplete,60.0,Pending
T-00075,U-055,P-00554,Safety,2026-06-04,Completed,96.0,Certified
T-00076,U-051,P-02586,Leadership,2026-04-02,Completed,72.4,Pending
T-00077,U-021,P-00598,Leadership,2025-01-21,Incomplete,59.9,Pending
T-00078,U-034,P-00639,Safety,2025-11-05,Completed,91.6,Certified
T-00079,U-016,P-02438,Safety,2025-02-06,Completed,72.6,Pending
T-00080,U-002,P-00644,Advanced,2025-03-27,Completed,86.8,Certified
T-00081,U-044,P-02123,Advanced,2025-11-30,Completed,84.9,Certified
T-00082,U-020,P-01079,Core,2025-12-06,Completed,83.6,Certified
T-00083,U-056,P-02849,Safety,2025-12-03,Completed,76.0,Pending
T-00084,U-041,P-00009,Advanced,2025-10-29,Completed,99.2,Certified
T-00085,U-022,P-00581,Advanced,2026-03-05,Completed,98.6,Certified
T-00086,U-006,P-00882,Safety,2025-07-03,Incomplete,66.0,Pending
T-00087,U-009,P-00931,Leadership,2025-11-25,Incomplete,60.2,Pending
T-00088,U-034,P-01178,Leadership,2025-05-08,Completed,77.6,Pending
T-00089,U-050,P-02812,Advanced,2025-01-03,Completed,98.3,Certified
T-00090,U-049,P-00634,Core,2025-07-31,Incomplete,55.7,Pending
T-00091,U-049,P-02522,Advanced,2025-01-15,Completed,91.1,Certified
T-00092,U-030,P-00963,Leadership,2026-04-06,Incomplete,59.8,Pending
T-00093,U-041,P-01743,Leadership,2025-10-14,Completed,92.4,Certified
T-00094,U-009,P-01259,Advanced,2025-07-02,Completed,78.3,Pending
T-00095,U-002,P-02091,Core,2026-05-26,Completed,88.6,Certified
T-00096,U-027,P-00800,Core,2025-11-03,Completed,82.7,Certified
T-00097,U-005,P-02508,Core,2026-01-31,Completed,74.5,Pending
T-00098,U-058,P-01710,Leadership,2026-03-24,Completed,72.6,Pending
T-00099,U-025,P-00716,Core,2025-06-10,Completed,80.5,Certified
T-00100,U-011,P-02905,Leadership,2025-11-16,Completed,82.4,Certified
T-00101,U-057,P-02499,Core,2025-09-21,Completed,81.9,Certified
T-00102,U-039,P-02928,Leadership,2025-11-01,Completed,77.2,Pending
T-00103,U-008,P-02439,Safety,2025-11-25,Incomplete,69.7,Pending
T-00104,U-045,P-02614,Safety,2025-11-08,Completed,77.6,Pending
T-00105,U-049,P-01668,Leadership,2025-05-01,Completed,70.5,Pending
T-00106,U-024,P-01005,Leadership,2025-04-24,Completed,86.0,Certified
T-00107,U-018,P-01412,Advanced,2026-04-22,Incomplete,63.9,Pending
T-00108,U-030,P-02057,Advanced,2025-06-28,Completed,88.6,Certified
T-00109,U-006,P-02135,Leadership,2025-08-09,Completed,95.9,Certified
T-00110,U-027,P-00599,Advanced,2026-04-25,Completed,97.2,Certified
T-00111,U-012,P-01547,Safety,2025-09-21,Completed,74.2,Pending
T-00112,U-004,P-02189,Advanced,2026-05-27,Completed,83.4,Certified
T-00113,U-022,P-01250,Safety,2026-03-15,Completed,89.6,Certified
T-00114,U-006,P-02821,Safety,2025-03-02,Incomplete,68.7,Pending
T-00115,U-010,P-00775,Core,2025-01-29,Completed,95.2,Certified
T-00116,U-038,P-00637,Safety,2025-08-28,Completed,83.9,Certified
T-00117,U-016,P-01576,Safety,2026-01-03,Completed,73.7,Pending
T-00118,U-045,P-00825,Advanced,2025-08-09,Completed,79.9,Pending
T-00119,U-052,P-00559,Safety,2025-12-07,Completed,99.1,Certified
T-00120,U-015,P-02963,Safety,2026-02-01,Incomplete,66.0,Pending
T-00121,U-053,P-01709,Advanced,2025-05-16,Completed,78.2,Pending
T-00122,U-044,P-02146,Leadership,2026-01-09,Completed,81.9,Certified
T-00123,U-028,P-01984,Safety,2025-06-02,Completed,85.2,Certified
T-00124,U-042,P-02722,Advanced,2026-07-15,Incomplete,55.2,Pending
T-00125,U-009,P-00003,Advanced,2026-04-23,Incomplete,60.1,Pending
T-00126,U-013,P-02617,Core,2026-01-10,Completed,72.9,Pending
T-00127,U-026,P-02753,Core,2025-04-12,Completed,75.6,Pending
T-00128,U-052,P-01273,Core,2025-03-22,Completed,94.4,Certified
T-00129,U-042,P-01459,Core,2026-01-25,Completed,88.7,Certified
T-00130,U-017,P-00630,Safety,2025-09-07,Incomplete,64.5,Pending
T-00131,U-040,P-02497,Core,2025-04-26,Incomplete,67.3,Pending
T-00132,U-010,P-01468,Leadership,2025-12-12,Completed,79.5,Pending
T-00133,U-020,P-00160,Core,2026-01-21,Completed,81.0,Certified
T-00134,U-041,P-00828,Leadership,2026-01-09,Completed,95.4,Certified
T-00135,U-032,P-00093,Leadership,2025-05-21,Completed,71.6,Pending
T-00136,U-028,P-00495,Safety,2025-03-07,Completed,94.2,Certified
T-00137,U-008,P-00158,Core,2025-03-05,Completed,84.5,Certified
T-00138,U-003,P-00125,Safety,2025-10-29,Completed,84.0,Certified
T-00139,U-030,P-00906,Advanced,2026-04-16,Incomplete,55.7,Pending
T-00140,U-013,P-02000,Core,2026-01-20,Incomplete,65.1,Pending
T-00141,U-047,P-01376,Safety,2025-05-30,Completed,72.9,Pending
T-00142,U-013,P-01829,Advanced,2026-07-21,Completed,83.9,Certified
T-00143,U-018,P-00035,Advanced,2026-01-27,Completed,92.5,Certified
T-00144,U-045,P-00810,Leadership,2026-04-01,Completed,97.0,Certified
T-00145,U-053,P-01709,Core,2025-03-31,Completed,88.1,Certified
T-00146,U-041,P-01268,Core,2026-04-15,Incomplete,66.1,Pending
T-00147,U-037,P-01392,Leadership,2025-03-22,Incomplete,65.3,Pending
T-00148,U-040,P-01132,Advanced,2026-03-19,Incomplete,59.9,Pending
T-00149,U-035,P-02955,Advanced,2025-08-15,Completed,95.3,Certified
T-00150,U-009,P-00126,Safety,2026-01-26,Completed,90.7,Certified
T-00151,U-012,P-00459,Advanced,2026-06-03,Incomplete,67.7,Pending
T-00152,U-037,P-00827,Core,2026-02-27,Completed,92.5,Certified
T-00153,U-030,P-02037,Advanced,2026-07-08,Incomplete,68.5,Pending
T-00154,U-033,P-02975,Safety,2025-11-15,Completed,81.8,Certified
T-00155,U-056,P-00210,Safety,2026-05-01,Completed,71.0,Pending
T-00156,U-013,P-01064,Safety,2026-05-16,Incomplete,66.1,Pending
T-00157,U-025,P-01377,Leadership,2025-06-15,Incomplete,61.0,Pending
T-00158,U-047,P-02670,Leadership,2026-08-01,Incomplete,68.7,Pending
T-00159,U-021,P-02277,Advanced,2025-07-11,Completed,97.4,Certified
T-00160,U-028,P-01179,Safety,2025-01-28,Completed,70.3,Pending
T-00161,U-009,P-02983,Safety,2025-06-05,Completed,84.3,Certified
T-00162,U-037,P-00501,Core,2025-11-04,Incomplete,56.0,Pending
T-00163,U-034,P-02606,Leadership,2025-05-02,Completed,81.6,Certified
T-00164,U-048,P-00449,Leadership,2026-04-02,Completed,89.2,Certified
T-00165,U-020,P-02158,Safety,2026-01-16,Incomplete,69.5,Pending
T-00166,U-010,P-00856,Core,2025-12-21,Completed,80.5,Certified
T-00167,U-007,P-01803,Leadership,2026-01-29,Completed,86.7,Certified
T-00168,U-041,P-00525,Leadership,2025-06-30,Completed,98.9,Certified
T-00169,U-008,P-00881,Safety,2025-09-05,Incomplete,65.7,Pending
T-00170,U-060,P-02995,Core,2025-05-11,Completed,92.6,Certified
T-00171,U-059,P-02681,Safety,2025-07-20,Completed,70.6,Pending
T-00172,U-045,P-02437,Advanced,2026-01-14,Completed,70.1,Pending
T-00173,U-044,P-01640,Leadership,2026-05-15,Completed,86.2,Certified
T-00174,U-037,P-02737,Core,2025-06-29,Completed,88.6,Certified
T-00175,U-034,P-01470,Safety,2026-06-28,Incomplete,62.1,Pending
T-00176,U-004,P-02947,Core,2025-05-06,Completed,92.8,Certified
T-00177,U-049,P-00905,Core,2025-03-06,Completed,100.0,Certified
T-00178,U-041,P-01823,Leadership,2025-09-01,Completed,70.8,Pending
T-00179,U-012,P-02733,Advanced,2026-02-26,Incomplete,64.3,Pending
T-00180,U-045,P-00582,Advanced,2025-05-08,Completed,95.1,Certified
T-00181,U-025,P-01380,Leadership,2025-11-13,Incomplete,58.9,Pending
T-00182,U-005,P-01276,Leadership,2026-07-15,Incomplete,64.9,Pending
T-00183,U-002,P-01949,Core,2025-08-25,Incomplete,58.1,Pending
T-00184,U-048,P-01326,Advanced,2025-12-23,Completed,97.8,Certified
T-00185,U-056,P-02853,Core,2025-02-27,Completed,85.1,Certified
T-00186,U-059,P-01433,Safety,2026-07-06,Completed,90.3,Certified
T-00187,U-052,P-00714,Advanced,2026-05-11,Incomplete,69.9,Pending
T-00188,U-028,P-00873,Safety,2025-07-23,Completed,82.5,Certified
T-00189,U-034,P-02758,Core,2026-03-17,Completed,90.0,Certified
T-00190,U-028,P-00338,Core,2025-05-25,Completed,89.5,Certified
T-00191,U-014,P-02251,Leadership,2026-07-26,Completed,73.9,Pending
T-00192,U-012,P-01202,Leadership,2026-05-08,Incomplete,61.9,Pending
T-00193,U-001,P-01354,Advanced,2026-02-11,Incomplete,59.6,Pending
T-00194,U-041,P-02693,Advanced,2025-02-18,Completed,74.8,Pending
T-00195,U-026,P-02839,Safety,2025-02-06,Completed,81.5,Certified
T-00196,U-019,P-01573,Core,2025-05-12,Completed,71.9,Pending
T-00197,U-011,P-02239,Leadership,2026-06-15,Incomplete,69.1,Pending
T-00198,U-054,P-01351,Safety,2025-10-26,Completed,80.4,Certified
T-00199,U-054,P-00323,Advanced,2025-07-30,Completed,73.9,Pending
T-00200,U-024,P-00407,Core,2025-03-31,Completed,89.5,Certified
T-00201,U-023,P-01311,Safety,2025-11-16,Completed,72.2,Pending
T-00202,U-003,P-00117,Advanced,2025-04-12,Incomplete,62.7,Pending
T-00203,U-053,P-02122,Core,2025-09-09,Incomplete,56.9,Pending
T-00204,U-013,P-01675,Advanced,2026-01-14,Incomplete,66.2,Pending
T-00205,U-040,P-00502,Advanced,2025-05-29,Completed,79.7,Pending
T-00206,U-014,P-02436,Leadership,2025-12-29,Completed,84.7,Certified
T-00207,U-037,P-01635,Core,2026-03-27,Incomplete,59.2,Pending
T-00208,U-058,P-00985,Leadership,2025-03-22,Completed,91.0,Certified
T-00209,U-060,P-02655,Safety,2025-11-26,Completed,85.2,Certified
T-00210,U-008,P-01110,Advanced,2025-01-31,Incomplete,68.9,Pending
T-00211,U-043,P-00017,Safety,2025-12-12,Completed,75.9,Pending
T-00212,U-038,P-02767,Leadership,2026-05-16,Completed,89.3,Certified
T-00213,U-024,P-01921,Core,2025-10-28,Completed,96.4,Certified
T-00214,U-031,P-01721,Safety,2025-04-13,Completed,92.0,Certified
T-00215,U-034,P-02054,Leadership,2025-09-08,Incomplete,64.4,Pending
T-00216,U-024,P-00822,Safety,2025-08-16,Completed,89.1,Certified
T-00217,U-058,P-00993,Advanced,2025-02-10,Completed,86.8,Certified
T-00218,U-025,P-01362,Safety,2026-04-20,Completed,75.6,Pending
T-00219,U-036,P-02817,Leadership,2026-02-18,Completed,77.8,Pending
T-00220,U-026,P-00229,Core,2025-07-11,Completed,75.4,Pending
T-00221,U-060,P-01379,Leadership,2026-03-14,Incomplete,56.0,Pending
T-00222,U-024,P-01748,Leadership,2026-08-13,Incomplete,57.0,Pending
T-00223,U-035,P-02625,Core,2026-06-12,Completed,85.3,Certified
T-00224,U-023,P-01479,Leadership,2025-03-25,Completed,87.0,Certified
T-00225,U-010,P-00194,Leadership,2026-01-17,Completed,73.9,Pending
T-00226,U-041,P-01418,Advanced,2025-05-20,Completed,93.7,Certified
T-00227,U-051,P-01579,Safety,2026-05-24,Completed,89.3,Certified
T-00228,U-053,P-01111,Safety,2025-03-07,Completed,94.0,Certified
T-00229,U-050,P-00740,Core,2025-09-24,Completed,85.3,Certified
T-00230,U-056,P-00801,Safety,2026-06-12,Completed,80.6,Certified
T-00231,U-005,P-00862,Leadership,2025-02-21,Incomplete,69.3,Pending
T-00232,U-057,P-00030,Core,2026-07-20,Incomplete,55.2,Pending
T-00233,U-052,P-02704,Core,2026-06-10,Completed,85.9,Certified
T-00234,U-013,P-02000,Advanced,2026-06-28,Incomplete,59.8,Pending
T-00235,U-042,P-02259,Advanced,2025-05-29,Incomplete,60.5,Pending
T-00236,U-010,P-01953,Core,2026-06-03,Incomplete,58.7,Pending
T-00237,U-037,P-02427,Advanced,2026-07-27,Completed,80.9,Certified
T-00238,U-030,P-00434,Leadership,2025-05-12,Completed,97.9,Certified
T-00239,U-030,P-00395,Core,2025-04-10,Completed,73.6,Pending
T-00240,U-030,P-02150,Leadership,2026-01-06,Completed,98.0,Certified
T-00241,U-007,P-01871,Core,2025-04-16,Completed,73.9,Pending
T-00242,U-027,P-02095,Leadership,2026-03-27,Incomplete,56.4,Pending
T-00243,U-018,P-02801,Advanced,2025-05-10,Completed,92.9,Certified
T-00244,U-055,P-01686,Core,2025-12-08,Incomplete,60.9,Pending
T-00245,U-015,P-00528,Advanced,2025-06-22,Completed,85.9,Certified
T-00246,U-002,P-02091,Leadership,2026-03-23,Incomplete,59.8,Pending
T-00247,U-013,P-01381,Core,2026-05-15,Completed,90.7,Certified
T-00248,U-028,P-02004,Advanced,2025-03-27,Incomplete,64.0,Pending
T-00249,U-009,P-02517,Leadership,2025-10-24,Completed,89.5,Certified
T-00250,U-018,P-02333,Advanced,2025-11-30,Incomplete,66.1,Pending
T-00251,U-004,P-00564,Leadership,2026-03-13,Completed,87.1,Certified
T-00252,U-048,P-00747,Safety,2025-12-17,Completed,90.3,Certified
T-00253,U-040,P-02527,Leadership,2026-03-10,Incomplete,66.1,Pending
T-00254,U-012,P-02701,Core,2026-06-16,Completed,71.6,Pending
T-00255,U-042,P-00523,Leadership,2025-12-12,Incomplete,69.4,Pending
T-00256,U-005,P-00452,Core,2026-04-12,Completed,72.3,Pending
T-00257,U-004,P-00695,Safety,2025-09-15,Completed,76.1,Pending
T-00258,U-025,P-02191,Leadership,2025-06-26,Completed,86.2,Certified
T-00259,U-039,P-02192,Advanced,2025-10-22,Incomplete,59.2,Pending
T-00260,U-040,P-00498,Safety,2025-01-25,Incomplete,65.5,Pending
T-00261,U-032,P-00770,Leadership,2025-01-13,Incomplete,64.1,Pending
T-00262,U-015,P-02923,Leadership,2026-06-02,Completed,76.3,Pending
T-00263,U-039,P-01807,Safety,2025-10-30,Incomplete,69.7,Pending
T-00264,U-043,P-01753,Safety,2025-09-17,Completed,86.5,Certified
T-00265,U-002,P-02208,Leadership,2025-08-11,Incomplete,61.4,Pending
T-00266,U-005,P-02519,Advanced,2025-04-19,Completed,99.1,Certified
T-00267,U-042,P-00521,Safety,2026-06-07,Completed,95.2,Certified
T-00268,U-048,P-02226,Leadership,2025-10-14,Completed,97.3,Certified
T-00269,U-046,P-00164,Safety,2025-03-01,Completed,95.5,Certified
T-00270,U-043,P-00893,Safety,2025-03-09,Completed,89.6,Certified
T-00271,U-002,P-00852,Leadership,2026-01-18,Incomplete,69.0,Pending
T-00272,U-026,P-00221,Leadership,2025-11-27,Completed,79.5,Pending
T-00273,U-012,P-02840,Leadership,2025-08-13,Completed,73.8,Pending
T-00274,U-046,P-02235,Safety,2025-10-28,Completed,77.1,Pending
T-00275,U-015,P-01964,Core,2025-08-22,Completed,94.8,Certified
T-00276,U-045,P-01262,Safety,2025-09-02,Incomplete,58.9,Pending
T-00277,U-057,P-02627,Advanced,2025-09-27,Completed,91.1,Certified
T-00278,U-039,P-00358,Safety,2026-04-15,Incomplete,56.1,Pending
T-00279,U-018,P-00555,Leadership,2026-03-08,Completed,82.5,Certified
T-00280,U-055,P-01567,Advanced,2025-02-13,Completed,71.5,Pending
T-00281,U-032,P-01725,Core,2025-08-30,Completed,91.8,Certified
T-00282,U-049,P-02486,Leadership,2026-03-28,Incomplete,65.5,Pending
T-00283,U-033,P-02786,Safety,2025-11-15,Completed,76.9,Pending
T-00284,U-052,P-00389,Safety,2025-07-27,Incomplete,56.5,Pending
T-00285,U-016,P-02398,Core,2025-04-25,Completed,76.1,Pending
T-00286,U-048,P-02129,Core,2025-01-13,Incomplete,63.4,Pending
T-00287,U-043,P-00893,Safety,2025-02-06,Completed,85.2,Certified
T-00288,U-036,P-02549,Safety,2026-06-08,Completed,88.1,Certified
T-00289,U-050,P-00751,Core,2026-05-13,Completed,76.5,Pending
T-00290,U-040,P-00812,Advanced,2025-02-24,Completed,85.9,Certified
T-00291,U-005,P-00865,Core,2026-03-24,Incomplete,58.6,Pending
T-00292,U-057,P-01628,Leadership,2026-01-04,Completed,72.8,Pending
T-00293,U-047,P-00396,Safety,2026-05-02,Completed,92.9,Certified
T-00294,U-055,P-02084,Leadership,2026-04-24,Completed,90.6,Certified
T-00295,U-029,P-02155,Safety,2025-12-25,Completed,79.7,Pending
T-00296,U-027,P-02051,Leadership,2025-12-31,Completed,83.2,Certified
T-00297,U-037,P-01906,Leadership,2025-03-29,Completed,86.5,Certified
T-00298,U-031,P-00406,Core,2026-04-15,Incomplete,68.2,Pending
T-00299,U-057,P-02465,Leadership,2025-03-10,Completed,92.9,Certified
T-00300,U-057,P-02652,Core,2026-01-20,Completed,94.0,Certified
T-00301,U-047,P-02413,Advanced,2025-08-19,Completed,86.9,Certified
T-00302,U-015,P-02616,Safety,2025-04-09,Completed,87.3,Certified
T-00303,U-055,P-00085,Advanced,2025-05-17,Completed,79.3,Pending
T-00304,U-012,P-02021,Leadership,2026-02-06,Completed,85.2,Certified
T-00305,U-041,P-02131,Safety,2025-05-30,Completed,93.5,Certified
T-00306,U-040,P-00073,Advanced,2026-01-30,Incomplete,55.9,Pending
T-00307,U-013,P-01356,Advanced,2025-02-20,Incomplete,57.7,Pending
T-00308,U-048,P-01298,Safety,2025-04-07,Completed,96.2,Certified
T-00309,U-047,P-00396,Advanced,2025-02-10,Incomplete,67.3,Pending
T-00310,U-014,P-01815,Safety,2025-04-08,Completed,99.9,Certified
T-00311,U-050,P-00914,Advanced,2026-07-31,Incomplete,64.7,Pending
T-00312,U-051,P-01157,Leadership,2026-03-24,Completed,82.0,Certified
T-00313,U-051,P-00218,Leadership,2025-03-14,Incomplete,66.2,Pending
T-00314,U-003,P-00125,Advanced,2026-05-05,Completed,79.3,Pending
T-00315,U-026,P-00221,Safety,2025-07-30,Incomplete,68.5,Pending
T-00316,U-006,P-02137,Leadership,2026-02-12,Completed,98.1,Certified
T-00317,U-031,P-00287,Leadership,2026-02-26,Incomplete,61.5,Pending
T-00318,U-026,P-02011,Core,2025-07-20,Completed,72.0,Pending
T-00319,U-006,P-01374,Safety,2026-02-18,Incomplete,68.5,Pending
T-00320,U-001,P-00280,Advanced,2025-05-04,Completed,99.7,Certified
T-00321,U-055,P-01411,Advanced,2025-11-08,Completed,88.3,Certified
T-00322,U-032,P-02288,Safety,2025-09-08,Completed,92.0,Certified
T-00323,U-031,P-00272,Core,2025-02-02,Incomplete,63.0,Pending
T-00324,U-018,P-02130,Core,2025-11-16,Completed,89.5,Certified
T-00325,U-015,P-00196,Core,2025-06-29,Completed,98.8,Certified
T-00326,U-032,P-01146,Leadership,2025-02-02,Incomplete,59.7,Pending
T-00327,U-008,P-00881,Safety,2025-07-07,Completed,73.2,Pending
T-00328,U-048,P-00998,Advanced,2025-08-11,Completed,90.9,Certified
T-00329,U-021,P-00318,Advanced,2025-11-15,Incomplete,64.2,Pending
T-00330,U-044,P-00257,Leadership,2025-05-07,Incomplete,68.2,Pending
T-00331,U-009,P-02100,Leadership,2026-02-07,Completed,80.8,Certified
T-00332,U-004,P-00666,Leadership,2026-04-26,Completed,93.0,Certified
T-00333,U-042,P-02481,Safety,2025-05-25,Completed,93.4,Certified
T-00334,U-051,P-02629,Core,2025-02-05,Completed,82.4,Certified
T-00335,U-009,P-00425,Leadership,2025-10-01,Completed,77.3,Pending
T-00336,U-057,P-02220,Core,2025-12-15,Completed,89.5,Certified
T-00337,U-005,P-00356,Safety,2025-01-21,Completed,95.6,Certified
T-00338,U-013,P-02999,Leadership,2025-08-30,Completed,97.0,Certified
T-00339,U-024,P-00329,Safety,2025-03-03,Incomplete,65.1,Pending
T-00340,U-002,P-02714,Safety,2026-02-03,Completed,94.0,Certified
T-00341,U-024,P-00329,Leadership,2025-11-23,Completed,83.0,Certified
T-00342,U-045,P-00378,Leadership,2025-06-25,Completed,82.5,Certified
T-00343,U-021,P-01972,Safety,2026-05-11,Incomplete,59.1,Pending
T-00344,U-045,P-00212,Safety,2026-06-29,Completed,99.5,Certified
T-00345,U-042,P-02824,Leadership,2025-06-16,Completed,74.5,Pending
T-00346,U-028,P-00878,Safety,2026-04-05,Completed,74.9,Pending
T-00347,U-026,P-01895,Leadership,2025-05-06,Incomplete,59.3,Pending
T-00348,U-056,P-00729,Advanced,2025-03-30,Incomplete,58.0,Pending
T-00349,U-042,P-02018,Leadership,2025-01-02,Completed,72.1,Pending
T-00350,U-007,P-02728,Leadership,2025-01-12,Completed,93.8,Certified
T-00351,U-048,P-00006,Leadership,2026-03-11,Incomplete,60.7,Pending
T-00352,U-040,P-00659,Safety,2025-12-11,Completed,88.1,Certified
T-00353,U-034,P-00750,Safety,2025-07-20,Completed,74.9,Pending
T-00354,U-016,P-00001,Core,2025-08-13,Completed,86.5,Certified
T-00355,U-034,P-02484,Core,2026-03-07,Completed,79.5,Pending
T-00356,U-023,P-01175,Safety,2026-08-01,Completed,74.1,Pending
T-00357,U-016,P-01260,Core,2026-07-08,Completed,88.2,Certified
T-00358,U-007,P-01699,Safety,2026-06-08,Completed,79.4,Pending
T-00359,U-012,P-01993,Advanced,2025-07-02,Completed,86.4,Certified
T-00360,U-052,P-00032,Advanced,2025-06-20,Incomplete,64.4,Pending
T-00361,U-030,P-01549,Leadership,2026-05-29,Completed,79.9,Pending
T-00362,U-019,P-01929,Advanced,2026-04-27,Incomplete,56.2,Pending
T-00363,U-037,P-01504,Leadership,2026-06-29,Completed,71.7,Pending
T-00364,U-038,P-01508,Safety,2025-12-02,Completed,90.4,Certified
T-00365,U-014,P-01983,Leadership,2025-11-29,Completed,86.7,Certified
T-00366,U-028,P-00879,Advanced,2025-09-24,Incomplete,55.2,Pending
T-00367,U-050,P-01715,Core,2026-06-02,Incomplete,68.0,Pending
