transaction_id,unit_id,supply_category,item_name,quantity,consumption,reorder_level,transaction_date,delivery_status
L-00146,U-015,Food,Supply D,339,27,200,2025-06-05,Pending
L-00147,U-048,Food,Component A,131,36,59,2026-01-09,Delivered
L-00148,U-019,Fuel,Component A,371,110,74,2025-06-13,In Transit
L-00149,U-055,Parts,Component A,173,133,194,2026-07-05,In Transit
L-00150,U-059,Food,Component A,66,50,197,2025-10-05,Delivered
L-00151,U-006,Fuel,Component A,409,53,175,2025-05-06,In Transit
L-00152,U-034,Parts,Kit C,884,116,152,2025-04-03,In Transit
L-00153,U-027,Food,Kit C,296,118,148,2025-12-13,Pending
L-00154,U-002,Food,Supply D,341,92,51,2026-03-01,Delivered
L-00155,U-034,Food,Supply D,408,68,129,2025-06-24,Pending
L-00156,U-041,Food,Component A,872,27,68,2025-07-26,Pending
L-00157,U-027,Medical,Component B,289,99,80,2025-08-27,Delivered
L-00158,U-008,Food,Component A,144,46,161,2025-10-20,In Transit
L-00159,U-020,Parts,Component A,541,145,121,2026-05-01,Pending
L-00160,U-046,Parts,Component A,141,14,103,2025-08-20,In Transit
L-00161,U-038,Food,Component A,673,39,181,2025-12-09,Pending
L-00162,U-001,Food,Supply D,214,128,63,2026-03-15,In Transit
L-00163,U-019,Parts,Component A,917,11,131,2026-05-08,In Transit
L-00164,U-028,Medical,Component A,913,32,148,2025-06-07,In Transit
L-00165,U-002,Medical,Component B,94,98,192,2026-03-01,Delivered
L-00166,U-023,Fuel,Kit C,550,81,77,2026-03-30,In Transit
L-00167,U-017,Fuel,Component B,354,84,184,2026-07-13,Delivered
L-00168,U-021,Parts,Kit C,603,56,137,2025-05-29,In Transit
L-00169,U-015,Parts,Component A,520,62,148,2025-04-13,In Transit
L-00170,U-031,Fuel,Kit C,682,141,103,2026-07-02,Pending
L-00171,U-006,Fuel,Supply D,985,23,105,2025-04-21,Delivered
L-00172,U-021,Fuel,Supply D,660,100,153,2025-05-08,In Transit
L-00173,U-001,Food,Supply D,737,77,78,2026-03-21,Pending
L-00174,U-004,Parts,Component B,542,71,77,2025-02-28,Pending
L-00175,U-012,Fuel,Component A,104,21,121,2026-06-23,Pending
L-00176,U-009,Medical,Component A,169,107,196,2026-06-08,Pending
L-00177,U-018,Parts,Supply D,523,59,115,2026-02-05,Pending
L-00178,U-001,Fuel,Component A,693,117,159,2025-02-06,Delivered
L-00179,U-058,Parts,Component B,289,143,103,2026-07-20,Pending
L-00180,U-046,Parts,Kit C,219,56,104,2026-04-15,In Transit
L-00181,U-021,Parts,Supply D,745,137,59,2025-12-08,Pending
L-00182,U-009,Fuel,Component A,822,91,189,2026-07-03,In Transit
L-00183,U-010,Food,Kit C,97,114,162,2026-05-24,In Transit
L-00184,U-032,Food,Component A,795,129,98,2025-01-11,Pending
L-00185,U-041,Parts,Supply D,310,138,83,2025-01-02,Delivered
L-00186,U-026,Parts,Component B,770,118,135,2026-03-14,Pending
L-00187,U-037,Medical,Supply D,603,106,129,2026-05-29,Pending
L-00188,U-049,Food,Supply D,849,72,54,2026-03-18,Pending
L-00189,U-005,Medical,Component A,630,136,50,2025-08-11,Pending
L-00190,U-005,Fuel,Kit C,881,86,102,2026-07-26,Pending
L-00191,U-001,Parts,Component A,140,100,140,2025-01-07,Delivered
L-00192,U-049,Parts,Kit C,419,146,98,2025-11-06,Pending
L-00193,U-035,Parts,Kit C,378,85,134,2026-02-12,Delivered
L-00194,U-018,Food,Kit C,987,26,105,2026-04-08,In Transit
L-00195,U-002,Parts,Component B,150,143,141,2026-05-05,Pending
L-00196,U-037,Food,Kit C,573,40,109,2026-01-10,Delivered
L-00197,U-017,Parts,Supply D,740,114,63,2025-09-24,Pending
L-00198,U-012,Medical,Component A,385,15,67,2025-09-05,Pending
L-00199,U-051,Fuel,Kit C,370,140,110,2025-07-10,In Transit
L-00200,U-053,Food,Kit C,364,102,109,2025-11-16,Pending
L-00201,U-012,Fuel,Component B,372,100,89,2026-07-25,In Transit
L-00202,U-049,Parts,Component B,646,95,178,2025-06-14,Delivered
L-00203,U-004,Food,Kit C,495,49,84,2025-04-11,Pending
L-00204,U-003,Parts,Kit C,90,127,58,2025-03-20,Delivered
L-00205,U-012,Food,Component A,800,100,127,2025-10-21,Delivered
L-00206,U-051,Parts,Component B,315,140,121,2025-08-03,Delivered
L-00207,U-012,Medical,Kit C,951,96,133,2026-03-31,Delivered
L-00208,U-039,Food,Kit C,916,66,93,2026-02-13,Delivered
L-00209,U-035,Fuel,Component B,417,100,150,2025-06-11,In Transit
L-00210,U-051,Medical,Component B,919,38,131,2025-08-11,Pending
L-00211,U-053,Food,Component A,419,91,169,2025-06-15,Delivered
L-00212,U-031,Food,Supply D,113,73,192,2026-05-31,Pending
L-00213,U-051,Parts,Supply D,258,131,106,2025-02-19,Delivered
L-00214,U-023,Food,Supply D,965,56,101,2026-04-25,In Transit
L-00215,U-046,Fuel,Kit C,605,33,120,2026-07-14,In Transit
L-00216,U-035,Medical,Component B,643,14,197,2025-04-14,Pending
L-00217,U-055,Fuel,Component A,340,84,65,2025-06-21,In Transit
L-00218,U-052,Food,Component B,379,142,132,2026-04-20,Delivered
L-00219,U-008,Parts,Component B,266,15,57,2025-08-26,In Transit
L-00220,U-049,Medical,Kit C,898,72,60,2026-01-10,Pending
L-00221,U-015,Fuel,Component A,255,74,156,2025-10-12,Pending
L-00222,U-030,Fuel,Supply D,606,102,58,2025-08-23,Delivered
L-00223,U-032,Food,Kit C,120,147,179,2025-11-24,Delivered
L-00224,U-002,Medical,Supply D,183,27,132,2025-09-24,Pending
L-00225,U-058,Parts,Component B,157,62,55,2026-02-05,Delivered
L-00226,U-023,Fuel,Component A,224,91,70,2026-03-25,In Transit
L-00227,U-039,Food,Kit C,996,140,55,2025-11-03,In Transit
L-00228,U-041,Fuel,Supply D,767,18,96,2025-05-24,In Transit
L-00229,U-053,Fuel,Supply D,908,21,176,2025-12-08,Pending
L-00230,U-005,Fuel,Component B,526,82,100,2026-07-31,Delivered
L-00231,U-027,Medical,Kit C,952,14,174,2025-01-19,In Transit
L-00232,U-047,Food,Supply D,820,14,63,2026-01-03,In Transit
L-00233,U-040,Parts,Supply D,439,92,102,2026-07-25,Delivered
L-00234,U-005,Parts,Kit C,798,34,178,2025-06-12,Delivered
L-00235,U-059,Food,Component A,885,31,78,2026-03-19,Delivered
L-00236,U-044,Medical,Kit C,348,75,68,2026-02-10,Pending
L-00237,U-027,Food,Component A,134,65,112,2025-09-25,Delivered
L-00238,U-053,Food,Kit C,604,82,107,2025-05-05,In Transit
L-00239,U-046,Food,Kit C,95,45,111,2026-07-31,Delivered
L-00240,U-039,Fuel,Supply D,781,39,140,2025-10-12,In Transit
L-00241,U-038,Fuel,Supply D,337,148,84,2025-02-26,Pending
L-00242,U-043,Food,Kit C,373,43,178,2026-02-09,Delivered
L-00243,U-029,Fuel,Component B,210,100,98,2025-08-13,Delivered
L-00244,U-010,Parts,Component B,101,116,53,2025-11-25,Delivered
L-00245,U-051,Medical,Kit C,879,140,91,2026-07-24,Delivered
L-00246,U-014,Medical,Supply D,306,129,131,2025-06-03,Delivered
L-00247,U-010,Fuel,Component A,436,106,103,2026-07-18,Delivered
L-00248,U-008,Food,Component B,171,144,51,2025-11-24,Delivered
L-00249,U-044,Medical,Component A,181,105,112,2025-02-18,Pending
L-00250,U-049,Parts,Kit C,694,110,96,2026-02-22,In Transit
L-00251,U-042,Food,Component A,677,137,171,2025-01-21,Delivered
L-00252,U-019,Parts,Component A,395,106,141,2026-01-03,In Transit
L-00253,U-009,Parts,Component A,546,75,152,2026-08-07,Delivered
L-00254,U-038,Food,Kit C,952,101,195,2025-11-08,Delivered
L-00255,U-043,Medical,Kit C,631,13,117,2026-08-12,Delivered
L-00256,U-028,Food,Component B,379,87,87,2025-11-04,Delivered
L-00257,U-042,Food,Supply D,679,138,153,2025-03-17,Pending
L-00258,U-007,Food,Component A,937,145,53,2026-03-25,In Transit
L-00259,U-040,Fuel,Supply D,841,13,73,2026-07-18,Delivered
L-00260,U-010,Parts,Component A,944,18,145,2026-01-14,In Transit
L-00261,U-058,Medical,Component B,525,128,79,2026-02-25,Delivered
L-00262,U-024,Medical,Kit C,684,50,127,2025-12-30,Delivered
L-00263,U-029,Medical,Supply D,494,92,185,2026-06-09,Pending
L-00264,U-007,Medical,Component B,866,91,187,2026-04-23,In Transit
L-00265,U-024,Medical,Component B,747,40,131,2026-05-28,Delivered
L-00266,U-032,Parts,Component B,811,85,79,2025-06-15,Delivered
L-00267,U-050,Parts,Supply D,246,130,53,2025-01-12,Delivered
L-00268,U-020,Parts,Component B,379,57,112,2025-05-15,Pending
L-00269,U-007,Parts,Component A,826,83,117,2025-04-13,In Transit
L-00270,U-038,Parts,Kit C,267,93,99,2025-01-16,In Transit
L-00271,U-005,Medical,Supply D,756,140,160,2025-01-12,Pending
L-00272,U-002,Fuel,Kit C,299,94,63,2025-08-02,Delivered
L-00273,U-060,Parts,Component B,288,34,147,2025-02-06,In Transit
L-00274,U-045,Fuel,Supply D,534,47,101,2025-04-01,Delivered
L-00275,U-024,Food,Supply D,907,115,94,2025-09-01,Pending
L-00276,U-055,Parts,Supply D,487,101,109,2025-01-27,Delivered
L-00277,U-046,Fuel,Component B,435,29,58,2025-08-09,Pending
L-00278,U-029,Parts,Supply D,880,80,104,2025-10-17,Delivered
L-00279,U-047,Food,Kit C,412,85,145,2025-03-16,In Transit
L-00280,U-054,Parts,Component B,825,112,97,2025-03-15,Pending
L-00281,U-052,Parts,Component A,610,27,67,2026-08-01,Delivered
L-00282,U-030,Fuel,Component B,531,17,174,2026-04-20,Pending
L-00283,U-051,Medical,Supply D,168,126,177,2026-06-16,In Transit
L-00284,U-041,Food,Supply D,624,122,81,2025-06-08,Delivered
L-00285,U-046,Medical,Kit C,511,135,129,2025-04-21,In Transit
L-00286,U-054,Food,Kit C,436,102,104,2026-05-08,In Transit
L-00287,U-056,Parts,Kit C,664,145,186,2025-03-18,Delivered
L-00288,U-010,Fuel,Component A,997,147,74,2025-07-05,Pending
L-00289,U-044,Medical,Kit C,424,100,131,2026-04-04,Delivered
L-00290,U-021,Medical,Component A,220,109,164,2025-04-21,Pending
L-00291,U-047,Parts,Component A,361,31,60,2025-09-29,In Transit
L-00292,U-060,Parts,Supply D,792,105,129,2025-02-26,Pending
L-00293,U-017,Medical,Kit C,414,120,121,2025-08-05,Delivered
L-00294,U-041,Parts,Component B,232,24,158,2025-11-23,Delivered
L-00295,U-010,Food,Component B,824,75,196,2025-05-15,In Transit
L-00296,U-050,Food,Component A,279,59,58,2025-12-24,Delivered
L-00297,U-005,Parts,Component B,273,31,89,2026-03-27,Pending
L-00298,U-028,Medical,Component B,151,99,138,2025-03-28,Delivered
L-00299,U-059,Medical,Component B,604,131,90,2025-09-02,Delivered
L-00300,U-036,Parts,Component A,386,139,105,2025-06-25,Pending
L-00301,U-031,Fuel,Component B,409,135,124,2025-01-30,Pending
L-00302,U-029,Fuel,Kit C,924,40,186,2026-01-14,In Transit
L-00303,U-015,Food,Kit C,461,47,183,2025-04-19,Pending
L-00304,U-030,Food,Kit C,244,39,84,2026-05-06,In Transit
L-00305,U-019,Medical,Supply D,216,140,190,2025-11-21,Delivered
L-00306,U-038,Fuel,Supply D,206,113,140,2026-07-07,In Transit
L-00307,U-054,Food,Kit C,664,48,91,2025-02-21,Pending
L-00308,U-004,Food,Component A,279,40,60,2025-05-22,Pending
L-00309,U-006,Fuel,Supply D,160,37,58,2025-11-04,Delivered
L-00310,U-019,Food,Component B,778,137,171,2025-11-03,Pending
L-00311,U-004,Fuel,Supply D,432,44,50,2025-05-12,Delivered
L-00312,U-032,Food,Component A,988,71,70,2026-03-03,Pending
L-00313,U-015,Parts,Kit C,177,118,181,2025-03-08,Delivered
L-00314,U-054,Food,Component A,977,125,198,2026-02-10,Pending
L-00315,U-059,Food,Kit C,557,121,66,2026-02-17,In Transit
L-00316,U-054,Medical,Kit C,102,113,190,2026-06-21,Pending
L-00317,U-042,Medical,Component B,343,89,123,2025-12-16,Delivered
L-00318,U-058,Food,Kit C,329,139,140,2025-08-16,Pending
L-00319,U-028,Medical,Component A,622,84,94,2026-03-03,In Transit
L-00320,U-057,Food,Supply D,231,136,163,2025-09-01,Delivered
L-00321,U-022,Medical,Kit C,427,54,73,2026-04-23,Pending
L-00322,U-014,Fuel,Component A,981,56,88,2026-01-24,Pending
L-00323,U-007,Medical,Component A,616,115,150,2025-08-08,In Transit
L-00324,U-021,Food,Supply D,589,97,174,2025-03-06,Delivered
L-00325,U-019,Parts,Supply D,426,106,110,2025-11-06,Delivered
L-00326,U-053,Parts,Kit C,361,56,97,2026-06-28,Pending
L-00327,U-041,Fuel,Kit C,535,12,84,2025-12-24,Delivered
L-00328,U-051,Parts,Supply D,264,110,95,2025-12-02,Pending
L-00329,U-056,Parts,Component A,462,40,66,2025-09-21,Delivered
L-00330,U-046,Food,Kit C,611,79,89,2026-02-27,Delivered
L-00331,U-023,Food,Component A,697,89,93,2025-03-12,Pending
L-00332,U-025,Medical,Supply D,178,130,99,2025-09-04,Pending
L-00333,U-012,Food,Component A,83,16,78,2025-08-17,In Transit
L-00334,U-036,Parts,Supply D,674,98,122,2026-07-07,Delivered
L-00335,U-011,Parts,Kit C,935,59,90,2025-09-03,In Transit
L-00336,U-056,Medical,Supply D,578,74,110,2026-07-26,Delivered
L-00337,U-043,Medical,Supply D,720,142,65,2026-04-07,In Transit
L-00338,U-038,Fuel,Kit C,122,110,133,2025-11-28,In Transit
L-00339,U-007,Fuel,Kit C,248,119,170,2025-11-28,Delivered
L-00340,U-055,Medical,Component B,698,11,118,2025-05-21,In Transit
L-00341,U-036,Medical,Component B,316,110,101,2025-09-08,In Transit
L-00342,U-031,Food,Kit C,144,124,99,2026-06-04,In Transit
L-00343,U-038,Fuel,Kit C,680,79,165,2026-04-21,Delivered
L-00344,U-031,Parts,Component A,679,125,85,2026-05-25,In Transit
L-00345,U-048,Fuel,Component A,125,86,122,2026-01-21,In Transit
L-00346,U-004,Fuel,Supply D,590,137,110,2026-03-19,Delivered
L-00347,U-033,Food,Kit C,587,96,88,2025-10-05,In Transit
L-00348,U-011,Food,Kit C,983,39,92,2025-02-05,Pending
L-00349,U-006,Fuel,Component B,163,142,133,2025-09-16,Pending
L-00350,U-036,Parts,Component A,714,91,70,2025-05-21,Delivered
L-00351,U-052,Medical,Supply D,760,103,112,2025-07-12,Delivered
L-00352,U-036,Medical,Component B,159,131,162,2026-03-07,Pending
L-00353,U-059,Food,Supply D,96,35,56,2026-01-20,Pending
L-00354,U-042,Parts,Component B,103,94,169,2025-03-04,Pending
L-00355,U-008,Food,Component B,663,70,183,2026-02-21,Pending
L-00356,U-022,Medical,Component B,991,26,154,2025-09-14,In Transit
L-00357,U-012,Fuel,Kit C,632,107,129,2025-12-15,Delivered
L-00358,U-005,Parts,Supply D,653,20,171,2025-05-08,Delivered
L-00359,U-021,Fuel,Kit C,599,80,176,2026-03-01,Delivered
L-00360,U-033,Fuel,Supply D,723,73,113,2025-12-04,In Transit
L-00361,U-027,Food,Supply D,99,13,115,2025-03-02,Pending
L-00362,U-056,Food,Kit C,990,130,147,2025-10-04,In Transit
L-00363,U-054,Medical,Kit C,824,48,197,2025-08-25,Delivered
L-00364,U-017,Food,Kit C,595,138,128,2026-02-21,Pending
L-00365,U-004,Parts,Component A,55,42,163,2026-03-09,In Transit
L-00366,U-025,Fuel,Supply D,421,61,145,2025-12-13,Pending
L-00367,U-027,Medical,Component B,186,131,105,2025-08-26,In Transit
L-00368,U-043,Parts,Kit C,175,49,110,2026-04-27,Delivered
L-00369,U-016,Parts,Supply D,522,97,156,2026-06-09,In Transit
L-00370,U-031,Fuel,Supply D,414,68,76,2025-07-13,Pending
L-00371,U-017,Parts,Component B,438,69,173,2026-02-05,In Transit
L-00372,U-060,Food,Component B,886,32,178,2025-10-15,Pending
L-00373,U-007,Food,Component B,855,40,88,2025-12-13,Delivered
L-00374,U-012,Food,Kit C,869,93,182,2025-05-02,In Transit
L-00375,U-051,Medical,Supply D,263,55,63,2026-01-22,Delivered
L-00376,U-039,Fuel,Kit C,576,37,139,2025-10-06,Delivered
L-00377,U-003,Fuel,Component B,842,110,151,2025-02-24,Delivered
L-00378,U-046,Medical,Component B,547,150,136,2025-01-07,In Transit
L-00379,U-007,Food,Component B,956,134,102,2026-06-08,Delivered
L-00380,U-003,Fuel,Component A,516,99,111,2025-11-04,Pending
L-00381,U-050,Food,Supply D,490,96,192,2025-04-26,Delivered
L-00382,U-016,Parts,Component B,240,25,116,2025-01-04,Delivered
L-00383,U-032,Fuel,Kit C,277,51,132,2025-11-12,Delivered
L-00384,U-005,Food,Supply D,196,76,114,2025-01-10,Pending
L-00385,U-001,Fuel,Kit C,932,83,112,2026-04-05,Pending
L-00386,U-007,Fuel,Component A,938,82,199,2026-01-19,Pending
L-00387,U-030,Food,Component A,785,67,155,2025-08-26,In Transit
L-00388,U-003,Parts,Component A,430,30,61,2025-12-24,In Transit
L-00389,U-012,Parts,Component B,288,105,165,2026-08-02,Delivered
L-00390,U-033,Parts,Component A,224,68,154,2026-05-13,Delivered
L-00391,U-027,Fuel,Supply D,190,116,135,2025-11-12,Pending
L-00392,U-006,Parts,Component B,344,85,106,2025-12-19,Delivered
L-00393,U-043,Food,Component A,150,90,86,2025-08-11,Pending
L-00394,U-041,Food,Kit C,222,87,151,2026-06-24,In Transit
L-00395,U-037,Fuel,Kit C,185,136,140,2025-03-15,Delivered
L-00396,U-030,Medical,Supply D,105,63,167,2026-07-10,Pending
