equipment_id,unit_id,equipment_type,category,manufacturer,acquisition_year,operational_status,condition,utilization_rate,last_maintenance_date,next_maintenance_date,downtime_days
E-00112,U-006,Communications,Surveillance,Nova,2024,Maintenance,Poor,98.1,2026-04-03,2026-07-03,33
E-00113,U-007,Communications,Mobility,Nova,2023,Operational,Good,24.6,2026-06-11,2026-10-19,27
E-00114,U-027,Vehicle,Mobility,Apex,2020,Operational,Good,79.8,2025-06-22,2025-11-27,21
E-00115,U-013,Communications,Mobility,Apex,2020,Limited,Poor,23.7,2026-02-10,2026-04-16,17
E-00116,U-016,Aircraft,Mobility,Orion,2023,Limited,Poor,32.9,2025-08-29,2026-01-02,10
E-00117,U-043,Sensor,Surveillance,Nova,2026,Operational,Fair,33.1,2025-03-03,2025-07-18,27
E-00118,U-060,Communications,Command,Nova,2024,Operational,Fair,73.9,2025-08-21,2025-11-01,13
E-00119,U-053,Vehicle,Power,Nova,2016,Maintenance,Poor,97.1,2026-02-22,2026-06-25,11
E-00120,U-026,Communications,Surveillance,Nova,2019,Maintenance,Good,20.1,2025-04-18,2025-05-27,12
E-00121,U-010,Communications,Command,Nova,2024,Limited,Good,27.9,2025-06-10,2025-11-15,32
E-00122,U-047,Communications,Surveillance,Nova,2024,Operational,Poor,88.5,2025-12-24,2026-05-28,30
E-00123,U-021,Sensor,Surveillance,Orion,2016,Operational,Poor,23.5,2026-02-20,2026-06-14,10
E-00124,U-001,Vehicle,Power,Apex,2016,Limited,Poor,30.2,2026-06-20,2026-12-12,28
E-00125,U-027,Aircraft,Mobility,Orion,2024,Operational,Fair,66.4,2026-04-17,2026-09-20,15
E-00126,U-035,Sensor,Command,Nova,2025,Operational,Good,99.3,2025-12-25,2026-02-21,25
E-00127,U-025,Aircraft,Surveillance,Apex,2024,Operational,Fair,66.0,2026-02-13,2026-03-29,8
E-00128,U-021,Generator,Command,Orion,2020,Maintenance,Good,68.2,2025-07-29,2025-12-07,0
E-00129,U-049,Communications,Mobility,Orion,2019,Maintenance,Poor,58.0,2025-11-02,2026-04-29,26
E-00130,U-028,Sensor,Surveillance,Orion,2015,Operational,Poor,20.3,2025-03-06,2025-08-25,29
E-00131,U-020,Aircraft,Power,Nova,2024,Maintenance,Poor,42.7,2025-09-19,2025-12-18,4
E-00132,U-033,Generator,Mobility,Orion,2022,Operational,Good,43.1,2026-06-01,2026-10-16,33
E-00133,U-041,Sensor,Mobility,Orion,2019,Operational,Poor,62.7,2025-07-31,2025-10-26,18
E-00134,U-021,Aircraft,Surveillance,Apex,2020,Operational,Good,29.5,2025-06-20,2025-07-18,10
E-00135,U-026,Vehicle,Surveillance,Orion,2019,Operational,Poor,68.1,2026-04-15,2026-05-20,1
E-00136,U-054,Generator,Power,Orion,2023,Limited,Good,81.6,2025-07-03,2025-07-23,35
E-00137,U-057,Aircraft,Command,Nova,2015,Limited,Fair,58.6,2026-08-10,2027-01-15,35
E-00138,U-016,Vehicle,Power,Orion,2018,Maintenance,Good,32.0,2025-09-26,2026-02-07,23
E-00139,U-059,Vehicle,Command,Apex,2025,Operational,Fair,77.6,2025-02-18,2025-06-21,6
E-00140,U-038,Vehicle,Power,Orion,2019,Operational,Good,64.6,2025-07-28,2026-01-08,12
E-00141,U-053,Generator,Surveillance,Orion,2024,Maintenance,Good,60.2,2026-07-09,2026-11-28,1
E-00142,U-042,Sensor,Command,Orion,2025,Operational,Good,22.5,2026-06-28,2026-09-08,27
E-00143,U-024,Communications,Power,Orion,2019,Operational,Fair,30.5,2025-02-18,2025-08-09,2
E-00144,U-026,Generator,Surveillance,Nova,2021,Maintenance,Fair,33.2,2025-10-08,2025-11-06,24
E-00145,U-010,Generator,Power,Nova,2024,Operational,Fair,89.8,2025-04-30,2025-06-24,20
E-00146,U-060,Communications,Command,Apex,2024,Operational,Good,46.5,2025-07-02,2025-09-15,18
E-00147,U-029,Sensor,Power,Orion,2021,Operational,Fair,63.3,2025-09-22,2026-01-03,23
E-00148,U-039,Generator,Command,Apex,2018,Operational,Poor,38.0,2026-03-24,2026-04-14,31
E-00149,U-054,Generator,Power,Nova,2020,Operational,Good,28.1,2025-05-21,2025-11-09,3
E-00150,U-001,Communications,Command,Apex,2016,Operational,Poor,82.3,2026-02-08,2026-04-29,9
E-00151,U-041,Communications,Surveillance,Orion,2023,Maintenance,Poor,63.6,2026-05-22,2026-08-13,22
E-00152,U-036,Aircraft,Power,Apex,2017,Operational,Poor,73.5,2025-11-25,2026-01-27,22
E-00153,U-009,Sensor,Mobility,Nova,2020,Operational,Fair,49.5,2025-04-14,2025-05-25,28
E-00154,U-005,Vehicle,Mobility,Orion,2019,Operational,Poor,27.4,2025-12-11,2026-04-24,29
E-00155,U-020,Communications,Power,Nova,2018,Operational,Fair,81.8,2026-04-28,2026-08-02,28
E-00156,U-056,Vehicle,Surveillance,Apex,2020,Limited,Poor,44.0,2025-10-30,2026-04-14,29
E-00157,U-013,Aircraft,Command,Apex,2020,Operational,Good,59.1,2025-10-24,2026-03-29,1
E-00158,U-015,Aircraft,Command,Orion,2016,Operational,Good,75.1,2025-05-08,2025-07-28,33
E-00159,U-059,Vehicle,Surveillance,Nova,2023,Operational,Good,85.0,2026-03-14,2026-08-23,4
E-00160,U-023,Aircraft,Surveillance,Apex,2015,Operational,Fair,86.2,2026-05-07,2026-09-15,11
E-00161,U-021,Communications,Mobility,Orion,2026,Operational,Fair,52.7,2025-11-17,2026-01-30,20
E-00162,U-047,Aircraft,Mobility,Apex,2023,Operational,Poor,89.1,2026-05-10,2026-08-29,27
E-00163,U-044,Generator,Power,Orion,2022,Maintenance,Good,78.8,2025-07-12,2025-11-22,24
E-00164,U-060,Aircraft,Mobility,Orion,2018,Operational,Good,85.1,2026-02-12,2026-04-07,16
E-00165,U-057,Generator,Power,Apex,2024,Operational,Poor,66.0,2026-03-17,2026-04-13,2
E-00166,U-008,Aircraft,Power,Orion,2018,Operational,Poor,21.4,2026-06-30,2026-09-17,21
E-00167,U-011,Aircraft,Surveillance,Nova,2023,Operational,Fair,92.4,2025-03-29,2025-05-31,18
E-00168,U-025,Aircraft,Power,Nova,2025,Operational,Poor,77.9,2026-06-11,2026-11-27,23
E-00169,U-029,Generator,Surveillance,Orion,2025,Operational,Poor,65.7,2026-07-29,2026-12-29,8
E-00170,U-034,Communications,Command,Apex,2022,Operational,Poor,66.7,2025-02-22,2025-07-29,4
E-00171,U-053,Aircraft,Command,Nova,2024,Operational,Fair,91.9,2025-11-03,2026-03-21,0
E-00172,U-060,Aircraft,Power,Orion,2020,Operational,Good,83.2,2026-08-18,2026-10-29,27
E-00173,U-032,Sensor,Mobility,Apex,2017,Operational,Poor,37.4,2026-06-20,2026-07-17,13
E-00174,U-034,Sensor,Mobility,Apex,2024,Limited,Good,68.8,2025-12-16,2026-05-10,34
E-00175,U-006,Aircraft,Mobility,Apex,2026,Operational,Poor,72.5,2025-12-11,2026-05-26,10
E-00176,U-054,Sensor,Mobility,Orion,2020,Operational,Good,64.8,2026-04-01,2026-08-07,27
E-00177,U-038,Generator,Mobility,Nova,2025,Operational,Fair,79.6,2025-08-15,2026-01-19,1
E-00178,U-049,Generator,Command,Apex,2025,Maintenance,Fair,21.6,2025-01-13,2025-03-05,7
E-00179,U-037,Vehicle,Mobility,Apex,2023,Operational,Good,88.2,2026-08-22,2027-01-10,19
E-00180,U-009,Vehicle,Command,Nova,2021,Operational,Good,65.9,2025-12-24,2026-05-28,20
E-00181,U-053,Aircraft,Mobility,Apex,2019,Limited,Fair,24.9,2025-04-14,2025-06-07,19
E-00182,U-014,Sensor,Mobility,Orion,2026,Maintenance,Poor,59.7,2025-07-31,2025-11-25,25
E-00183,U-009,Communications,Power,Nova,2026,Maintenance,Poor,52.1,2025-03-22,2025-06-12,13
E-00184,U-023,Vehicle,Power,Nova,2020,Operational,Fair,27.2,2025-03-03,2025-06-05,28
E-00185,U-043,Generator,Surveillance,Orion,2018,Operational,Poor,59.0,2025-03-30,2025-06-05,22
E-00186,U-023,Sensor,Power,Apex,2021,Operational,Poor,69.1,2025-04-14,2025-06-07,32
E-00187,U-059,Sensor,Command,Orion,2015,Operational,Good,63.6,2026-04-28,2026-09-02,24
E-00188,U-027,Communications,Power,Apex,2023,Operational,Good,50.2,2025-12-18,2026-03-13,16
E-00189,U-005,Vehicle,Mobility,Nova,2026,Operational,Fair,96.7,2025-03-20,2025-06-30,13
E-00190,U-022,Sensor,Power,Apex,2020,Limited,Good,23.0,2025-11-03,2026-04-15,34
E-00191,U-001,Communications,Mobility,Orion,2017,Operational,Fair,53.6,2026-05-18,2026-09-23,8
E-00192,U-060,Generator,Power,Nova,2019,Limited,Fair,29.3,2025-04-15,2025-09-30,14
E-00193,U-038,Vehicle,Surveillance,Nova,2015,Operational,Fair,59.6,2025-08-05,2025-10-30,0
E-00194,U-037,Aircraft,Power,Nova,2023,Operational,Fair,81.2,2025-06-27,2025-10-06,22
E-00195,U-008,Aircraft,Surveillance,Apex,2022,Operational,Good,56.3,2025-12-03,2026-02-11,1
E-00196,U-042,Aircraft,Mobility,Apex,2021,Operational,Fair,82.1,2026-07-21,2026-08-18,12
E-00197,U-020,Aircraft,Mobility,Nova,2022,Operational,Good,63.9,2026-05-31,2026-10-11,22
E-00198,U-033,Communications,Surveillance,Orion,2022,Operational,Fair,21.1,2025-08-28,2025-11-20,6
E-00199,U-015,Aircraft,Mobility,Orion,2018,Operational,Poor,86.1,2025-01-13,2025-05-20,1
E-00200,U-012,Sensor,Command,Orion,2019,Limited,Good,97.6,2025-05-11,2025-08-06,4
E-00201,U-042,Vehicle,Mobility,Nova,2025,Operational,Fair,56.0,2025-08-27,2025-10-20,0
E-00202,U-018,Vehicle,Mobility,Nova,2026,Operational,Fair,75.2,2025-03-09,2025-06-06,6
E-00203,U-037,Generator,Power,Apex,2023,Operational,Poor,26.0,2025-06-13,2025-12-09,30
E-00204,U-046,Communications,Command,Orion,2023,Operational,Fair,22.3,2025-04-12,2025-09-21,30
E-00205,U-010,Aircraft,Surveillance,Apex,2017,Operational,Good,49.9,2025-09-19,2026-02-12,19
E-00206,U-051,Generator,Mobility,Orion,2026,Operational,Poor,73.9,2025-07-09,2025-09-11,26
E-00207,U-007,Aircraft,Mobility,Apex,2018,Operational,Fair,50.6,2026-07-01,2026-11-08,6
E-00208,U-045,Vehicle,Surveillance,Apex,2017,Operational,Poor,51.9,2025-08-09,2025-10-11,3
E-00209,U-060,Vehicle,Power,Apex,2021,Operational,Fair,77.7,2025-02-05,2025-03-14,23
E-00210,U-013,Aircraft,Mobility,Apex,2020,Operational,Fair,58.1,2026-07-11,2026-10-19,1
E-00211,U-004,Communications,Command,Orion,2024,Operational,Good,22.1,2026-05-22,2026-10-07,13
E-00212,U-040,Communications,Mobility,Nova,2022,Maintenance,Good,32.8,2025-04-02,2025-05-19,13
E-00213,U-035,Vehicle,Surveillance,Apex,2025,Operational,Fair,59.6,2026-08-03,2026-10-09,7
E-00214,U-002,Generator,Surveillance,Apex,2022,Operational,Good,65.6,2025-11-20,2026-04-29,4
E-00215,U-031,Generator,Power,Apex,2021,Operational,Good,98.7,2026-04-11,2026-06-07,14
E-00216,U-049,Communications,Command,Orion,2017,Operational,Good,71.8,2025-10-28,2025-11-20,9
E-00217,U-022,Aircraft,Power,Apex,2017,Operational,Poor,93.1,2025-08-08,2025-09-01,17
E-00218,U-020,Communications,Surveillance,Nova,2015,Maintenance,Good,74.0,2026-05-01,2026-09-05,22
E-00219,U-021,Communications,Surveillance,Orion,2016,Operational,Poor,57.2,2025-08-19,2025-11-23,35
E-00220,U-002,Generator,Power,Nova,2023,Operational,Fair,29.0,2025-10-04,2025-11-02,8
E-00221,U-007,Vehicle,Power,Nova,2024,Operational,Good,33.7,2026-08-12,2026-12-20,34
E-00222,U-057,Aircraft,Surveillance,Orion,2022,Operational,Poor,54.2,2025-10-20,2026-03-20,26
E-00223,U-009,Sensor,Mobility,Apex,2023,Operational,Poor,41.5,2026-04-20,2026-09-03,16
E-00224,U-002,Sensor,Mobility,Nova,2016,Limited,Poor,22.6,2025-08-25,2025-11-27,8
E-00225,U-006,Vehicle,Mobility,Orion,2024,Operational,Poor,78.1,2025-11-04,2026-04-08,12
E-00226,U-026,Generator,Command,Orion,2023,Operational,Fair,60.8,2025-07-22,2025-10-19,28
E-00227,U-003,Vehicle,Command,Nova,2023,Limited,Fair,45.5,2025-06-11,2025-10-19,11
E-00228,U-010,Vehicle,Command,Apex,2026,Operational,Poor,59.3,2025-06-22,2025-08-18,0
E-00229,U-023,Communications,Command,Apex,2015,Operational,Good,21.5,2025-01-02,2025-06-03,24
E-00230,U-016,Sensor,Command,Nova,2016,Operational,Poor,20.4,2026-02-17,2026-07-19,33
E-00231,U-037,Generator,Mobility,Orion,2015,Operational,Good,66.4,2025-05-05,2025-06-17,24
E-00232,U-037,Communications,Surveillance,Apex,2022,Operational,Poor,86.5,2025-08-29,2026-02-01,29
E-00233,U-048,Vehicle,Power,Orion,2023,Operational,Good,95.4,2026-02-02,2026-07-12,27
E-00234,U-031,Communications,Mobility,Apex,2015,Operational,Poor,85.3,2026-02-02,2026-07-22,32
E-00235,U-018,Sensor,Mobility,Apex,2026,Operational,Good,96.2,2025-09-13,2025-10-24,6
E-00236,U-034,Vehicle,Power,Nova,2019,Operational,Fair,60.1,2025-11-22,2026-05-07,19
E-00237,U-010,Generator,Mobility,Apex,2020,Operational,Good,45.9,2025-07-13,2025-10-02,17
E-00238,U-027,Sensor,Power,Orion,2024,Operational,Poor,67.8,2025-01-31,2025-05-03,17
E-00239,U-056,Sensor,Command,Nova,2015,Operational,Good,24.7,2026-03-19,2026-05-13,17
E-00240,U-057,Aircraft,Mobility,Nova,2023,Operational,Good,93.7,2025-05-23,2025-08-07,32
E-00241,U-029,Communications,Surveillance,Apex,2015,Operational,Poor,47.7,2025-01-02,2025-02-08,31
E-00242,U-017,Sensor,Command,Orion,2025,Operational,Good,52.9,2025-05-20,2025-07-19,14
E-00243,U-023,Vehicle,Power,Apex,2017,Maintenance,Poor,27.6,2025-01-18,2025-06-30,8
E-00244,U-036,Aircraft,Mobility,Nova,2021,Operational,Good,70.3,2025-04-20,2025-08-01,22
E-00245,U-037,Sensor,Mobility,Apex,2015,Operational,Fair,68.1,2025-10-21,2026-01-05,3
E-00246,U-017,Vehicle,Mobility,Apex,2017,Operational,Poor,39.4,2026-02-23,2026-04-20,29
E-00247,U-006,Communications,Command,Apex,2024,Operational,Poor,99.2,2025-04-02,2025-09-29,27
E-00248,U-005,Communications,Mobility,Nova,2019,Operational,Poor,77.2,2025-04-02,2025-04-24,31
E-00249,U-048,Generator,Command,Nova,2019,Operational,Fair,50.5,2026-03-22,2026-04-22,19
E-00250,U-042,Sensor,Surveillance,Apex,2025,Operational,Fair,50.6,2025-05-28,2025-06-23,6
E-00251,U-040,Communications,Mobility,Orion,2022,Operational,Poor,79.5,2025-12-07,2026-06-05,13
E-00252,U-047,Communications,Power,Apex,2020,Operational,Poor,96.9,2026-05-19,2026-06-29,31
E-00253,U-027,Communications,Power,Apex,2026,Limited,Poor,30.1,2025-06-23,2025-11-07,11
E-00254,U-026,Aircraft,Surveillance,Orion,2026,Maintenance,Fair,94.8,2025-01-04,2025-05-06,9
E-00255,U-055,Vehicle,Surveillance,Orion,2023,Operational,Fair,60.9,2025-10-10,2026-01-07,18
E-00256,U-031,Communications,Mobility,Nova,2018,Maintenance,Fair,21.2,2025-03-24,2025-07-27,6
E-00257,U-052,Aircraft,Surveillance,Orion,2017,Limited,Good,38.8,2025-11-07,2026-02-04,13
E-00258,U-020,Sensor,Surveillance,Nova,2017,Operational,Good,32.1,2025-11-11,2026-02-25,27
E-00259,U-054,Communications,Power,Orion,2024,Operational,Good,21.4,2025-12-31,2026-05-02,17
E-00260,U-052,Vehicle,Mobility,Nova,2026,Operational,Poor,59.4,2025-04-01,2025-06-10,34
