mission_id,unit_id,mission_type,region,start_date,end_date,mission_status,personnel_deployed,equipment_deployed,mission_priority
MS-00075,U-007,Support,Base 07,2025-08-18,2025-08-24,Active,147,10,Critical
MS-00076,U-023,Transport,Base 23,2026-06-17,2026-06-30,Planned,28,21,Routine
MS-00077,U-028,Training,Base 28,2025-06-26,2025-07-01,Active,90,8,Routine
MS-00078,U-043,Exercise,Base 43,2025-04-25,2025-05-07,Completed,174,19,High
MS-00079,U-042,Transport,Base 42,2026-06-11,2026-06-12,Active,172,28,Critical
MS-00080,U-005,Exercise,Base 05,2025-01-19,2025-01-26,Planned,67,2,High
MS-00081,U-007,Training,Base 07,2025-09-10,2025-09-18,Planned,270,16,Routine
MS-00082,U-040,Exercise,Base 40,2025-12-09,2025-12-21,Completed,221,2,High
MS-00083,U-013,Support,Base 13,2026-05-21,2026-05-22,Completed,40,17,Critical
MS-00084,U-012,Exercise,Base 12,2025-11-02,2025-11-07,Completed,30,8,Routine
MS-00085,U-005,Transport,Base 05,2026-04-01,2026-04-08,Planned,125,21,Routine
MS-00086,U-026,Transport,Base 26,2025-03-13,2025-03-19,Completed,36,7,Routine
MS-00087,U-039,Transport,Base 39,2025-01-17,2025-01-21,Active,101,35,High
MS-00088,U-035,Training,Base 35,2026-03-12,2026-03-20,Completed,196,26,High
MS-00089,U-026,Support,Base 26,2026-05-29,2026-06-05,Active,125,11,Routine
MS-00090,U-037,Exercise,Base 37,2025-10-17,2025-10-24,Planned,201,14,Routine
MS-00091,U-057,Training,Base 57,2025-01-02,2025-01-16,Active,54,21,High
MS-00092,U-008,Training,Base 08,2026-06-12,2026-06-27,Active,103,32,Critical
MS-00093,U-053,Support,Base 53,2025-08-22,2025-08-27,Completed,256,36,Routine
MS-00094,U-006,Training,Base 06,2025-11-09,2025-11-14,Active,190,3,Critical
MS-00095,U-052,Support,Base 52,2026-06-14,2026-06-18,Active,155,14,Critical
MS-00096,U-027,Training,Base 27,2026-08-08,2026-08-22,Planned,176,30,Critical
MS-00097,U-053,Support,Base 53,2026-05-18,2026-05-21,Active,271,12,High
MS-00098,U-056,Support,Base 56,2025-06-18,2025-06-29,Active,146,16,Routine
MS-00099,U-020,Training,Base 20,2025-01-06,2025-01-08,Planned,226,20,High
MS-00100,U-002,Training,Base 02,2026-01-02,2026-01-12,Active,249,18,High
MS-00101,U-002,Training,Base 02,2026-01-11,2026-01-21,Completed,288,12,High
MS-00102,U-006,Exercise,Base 06,2026-03-16,2026-03-20,Completed,133,35,Critical
MS-00103,U-049,Support,Base 49,2025-03-14,2025-03-27,Completed,44,13,High
MS-00104,U-056,Support,Base 56,2026-02-06,2026-02-08,Planned,246,19,High
MS-00105,U-028,Transport,Base 28,2025-02-18,2025-03-02,Completed,49,21,Routine
MS-00106,U-018,Transport,Base 18,2025-04-22,2025-04-25,Planned,233,22,High
MS-00107,U-010,Exercise,Base 10,2026-03-09,2026-03-23,Completed,48,18,High
MS-00108,U-020,Exercise,Base 20,2025-09-10,2025-09-25,Planned,33,30,Routine
MS-00109,U-020,Training,Base 20,2026-04-20,2026-05-05,Completed,25,24,Critical
MS-00110,U-014,Support,Base 14,2025-03-15,2025-03-25,Planned,266,35,Routine
MS-00111,U-030,Training,Base 30,2025-10-18,2025-10-25,Completed,134,33,High
MS-00112,U-047,Support,Base 47,2026-05-09,2026-05-14,Planned,110,18,Routine
MS-00113,U-031,Transport,Base 31,2026-06-07,2026-06-20,Planned,56,13,Critical
MS-00114,U-043,Training,Base 43,2026-05-19,2026-06-01,Active,88,34,Routine
MS-00115,U-028,Support,Base 28,2025-04-19,2025-04-24,Planned,256,30,Critical
MS-00116,U-037,Exercise,Base 37,2025-10-21,2025-10-31,Completed,39,28,Critical
MS-00117,U-036,Support,Base 36,2025-05-05,2025-05-19,Completed,197,27,Routine
MS-00118,U-047,Transport,Base 47,2025-01-11,2025-01-26,Active,237,32,Routine
MS-00119,U-010,Training,Base 10,2025-11-28,2025-12-07,Completed,286,6,Routine
MS-00120,U-025,Transport,Base 25,2025-06-13,2025-06-21,Active,218,24,High
MS-00121,U-040,Training,Base 40,2025-07-18,2025-08-02,Completed,55,13,Routine
MS-00122,U-022,Exercise,Base 22,2025-09-27,2025-10-03,Active,277,3,Critical
MS-00123,U-031,Training,Base 31,2026-05-29,2026-06-13,Completed,257,32,Routine
MS-00124,U-008,Training,Base 08,2026-03-07,2026-03-10,Active,97,17,Routine
MS-00125,U-025,Training,Base 25,2025-05-09,2025-05-10,Completed,210,17,Critical
MS-00126,U-036,Support,Base 36,2025-03-15,2025-03-28,Completed,296,39,High
MS-00127,U-025,Support,Base 25,2025-05-21,2025-05-27,Completed,135,25,Critical
MS-00128,U-060,Support,Base 60,2025-03-11,2025-03-21,Active,179,25,Critical
MS-00129,U-052,Training,Base 52,2026-08-03,2026-08-07,Planned,201,40,High
MS-00130,U-009,Exercise,Base 09,2025-10-25,2025-10-31,Active,49,19,High
MS-00131,U-051,Exercise,Base 51,2025-03-31,2025-04-12,Completed,215,28,Routine
MS-00132,U-024,Exercise,Base 24,2026-07-24,2026-08-03,Completed,100,18,Routine
MS-00133,U-038,Exercise,Base 38,2026-05-31,2026-06-06,Planned,281,17,Routine
MS-00134,U-010,Training,Base 10,2026-01-19,2026-01-20,Active,76,8,High
MS-00135,U-035,Training,Base 35,2026-02-04,2026-02-15,Active,102,36,Critical
MS-00136,U-043,Exercise,Base 43,2025-07-06,2025-07-11,Planned,279,40,High
MS-00137,U-059,Training,Base 59,2025-12-25,2026-01-08,Planned,68,32,Critical
MS-00138,U-008,Transport,Base 08,2026-01-10,2026-01-21,Planned,116,26,Routine
MS-00139,U-048,Transport,Base 48,2025-03-12,2025-03-16,Planned,132,16,High
MS-00140,U-025,Transport,Base 25,2025-11-09,2025-11-19,Active,164,31,Critical
MS-00141,U-019,Exercise,Base 19,2025-08-23,2025-08-27,Completed,92,29,High
MS-00142,U-036,Transport,Base 36,2025-10-02,2025-10-15,Completed,242,6,Routine
MS-00143,U-050,Transport,Base 50,2025-12-03,2025-12-10,Planned,59,28,Routine
MS-00144,U-039,Transport,Base 39,2026-01-28,2026-02-08,Active,209,30,Critical
MS-00145,U-032,Training,Base 32,2026-03-15,2026-03-16,Planned,58,32,Critical
MS-00146,U-011,Exercise,Base 11,2026-01-26,2026-02-09,Completed,261,16,Routine
MS-00147,U-029,Exercise,Base 29,2025-10-27,2025-10-30,Completed,274,10,High
MS-00148,U-013,Exercise,Base 13,2025-01-13,2025-01-27,Planned,238,39,High
MS-00149,U-026,Support,Base 26,2026-01-17,2026-01-19,Completed,169,25,Critical
MS-00150,U-026,Transport,Base 26,2025-11-18,2025-11-22,Planned,236,37,High
MS-00151,U-053,Support,Base 53,2025-11-07,2025-11-19,Planned,31,27,Critical
MS-00152,U-018,Transport,Base 18,2025-04-19,2025-04-25,Completed,201,24,Critical
MS-00153,U-052,Support,Base 52,2026-04-11,2026-04-20,Active,195,29,Critical
MS-00154,U-029,Support,Base 29,2026-04-26,2026-05-05,Active,196,29,Routine
MS-00155,U-013,Support,Base 13,2025-01-22,2025-02-04,Planned,136,12,High
MS-00156,U-056,Support,Base 56,2026-02-17,2026-02-27,Active,221,20,Critical
MS-00157,U-032,Training,Base 32,2025-07-31,2025-08-07,Planned,257,26,High
MS-00158,U-038,Transport,Base 38,2026-02-23,2026-03-09,Completed,75,36,Routine
MS-00159,U-044,Transport,Base 44,2026-05-09,2026-05-13,Completed,39,39,High
MS-00160,U-007,Training,Base 07,2026-08-12,2026-08-25,Planned,196,9,Routine
MS-00161,U-052,Transport,Base 52,2026-05-13,2026-05-20,Active,164,19,Routine
MS-00162,U-027,Support,Base 27,2025-02-21,2025-02-23,Active,71,26,Routine
MS-00163,U-028,Training,Base 28,2026-03-02,2026-03-17,Completed,103,31,Critical
MS-00164,U-045,Support,Base 45,2025-09-02,2025-09-05,Active,214,15,High
MS-00165,U-013,Training,Base 13,2025-03-08,2025-03-21,Planned,109,21,Routine
MS-00166,U-027,Exercise,Base 27,2026-05-28,2026-06-10,Active,43,4,High
MS-00167,U-031,Training,Base 31,2026-07-24,2026-07-27,Completed,254,9,High
MS-00168,U-028,Transport,Base 28,2025-03-30,2025-04-11,Planned,259,2,Routine
MS-00169,U-011,Support,Base 11,2026-07-11,2026-07-22,Planned,150,24,High
MS-00170,U-006,Transport,Base 06,2026-01-27,2026-02-03,Active,269,8,High
MS-00171,U-003,Training,Base 03,2025-01-02,2025-01-13,Planned,221,24,Routine
MS-00172,U-036,Support,Base 36,2025-12-06,2025-12-07,Active,153,22,High
MS-00173,U-031,Training,Base 31,2026-06-06,2026-06-15,Completed,113,11,Routine
MS-00174,U-056,Exercise,Base 56,2025-05-10,2025-05-11,Completed,197,32,Critical
MS-00175,U-029,Exercise,Base 29,2025-11-10,2025-11-15,Completed,89,5,Routine
MS-00176,U-033,Support,Base 33,2025-01-03,2025-01-18,Completed,93,2,Critical
MS-00177,U-025,Training,Base 25,2026-07-17,2026-07-31,Active,54,33,Routine
MS-00178,U-018,Training,Base 18,2026-03-16,2026-03-25,Completed,34,37,Routine
MS-00179,U-052,Training,Base 52,2026-05-16,2026-05-19,Active,61,29,High
MS-00180,U-007,Support,Base 07,2025-05-31,2025-06-01,Completed,219,23,Critical
MS-00181,U-015,Transport,Base 15,2026-02-11,2026-02-21,Planned,296,2,Critical
MS-00182,U-048,Training,Base 48,2025-04-09,2025-04-20,Completed,203,36,Critical
MS-00183,U-007,Training,Base 07,2025-08-19,2025-09-01,Completed,103,12,Routine
MS-00184,U-056,Training,Base 56,2025-02-09,2025-02-23,Active,34,10,Routine
MS-00185,U-016,Transport,Base 16,2025-01-22,2025-01-23,Planned,215,17,Critical
MS-00186,U-037,Training,Base 37,2025-09-24,2025-10-03,Active,170,35,Critical
MS-00187,U-005,Training,Base 05,2025-09-30,2025-10-01,Planned,94,18,Critical
MS-00188,U-029,Exercise,Base 29,2025-11-06,2025-11-18,Completed,174,15,High
MS-00189,U-020,Exercise,Base 20,2025-10-19,2025-10-30,Completed,208,26,High
MS-00190,U-055,Exercise,Base 55,2026-01-30,2026-02-13,Planned,223,13,Routine
MS-00191,U-015,Support,Base 15,2025-06-24,2025-07-04,Active,211,2,Routine
MS-00192,U-059,Training,Base 59,2026-05-10,2026-05-12,Active,119,10,Routine
MS-00193,U-026,Exercise,Base 26,2025-12-14,2025-12-23,Completed,96,26,Critical
MS-00194,U-031,Transport,Base 31,2025-02-04,2025-02-15,Active,78,16,Critical
MS-00195,U-035,Exercise,Base 35,2025-08-08,2025-08-18,Active,158,23,Critical
MS-00196,U-033,Training,Base 33,2025-03-31,2025-04-11,Completed,115,40,Routine
MS-00197,U-039,Exercise,Base 39,2025-09-06,2025-09-11,Active,36,7,Critical
MS-00198,U-024,Transport,Base 24,2025-03-04,2025-03-07,Completed,136,9,Routine
MS-00199,U-049,Training,Base 49,2026-07-18,2026-08-02,Completed,199,28,High
MS-00200,U-060,Support,Base 60,2025-07-10,2025-07-15,Active,100,34,High
MS-00201,U-060,Exercise,Base 60,2025-12-10,2025-12-22,Active,284,21,Routine
MS-00202,U-004,Transport,Base 04,2025-04-09,2025-04-22,Planned,115,12,Routine
MS-00203,U-017,Transport,Base 17,2025-07-02,2025-07-07,Completed,34,27,High
MS-00204,U-060,Transport,Base 60,2025-03-29,2025-04-08,Planned,110,10,Routine
MS-00205,U-004,Training,Base 04,2026-05-18,2026-05-30,Planned,162,36,High
MS-00206,U-005,Support,Base 05,2026-07-19,2026-07-31,Planned,106,24,High
MS-00207,U-045,Transport,Base 45,2025-05-02,2025-05-06,Active,58,9,Critical
MS-00208,U-031,Transport,Base 31,2025-06-24,2025-06-30,Completed,51,24,Routine
MS-00209,U-033,Exercise,Base 33,2025-06-29,2025-07-08,Planned,39,37,High
MS-00210,U-008,Exercise,Base 08,2026-04-08,2026-04-17,Completed,76,14,High
MS-00211,U-015,Transport,Base 15,2026-06-15,2026-06-23,Active,96,18,Routine
MS-00212,U-058,Transport,Base 58,2025-03-02,2025-03-10,Active,134,29,High
MS-00213,U-037,Support,Base 37,2026-01-19,2026-01-25,Completed,33,33,Critical
MS-00214,U-012,Support,Base 12,2026-05-06,2026-05-16,Active,154,29,Critical
MS-00215,U-037,Exercise,Base 37,2026-07-05,2026-07-20,Active,244,11,Routine
MS-00216,U-042,Training,Base 42,2025-08-22,2025-08-23,Active,240,6,High
MS-00217,U-032,Training,Base 32,2025-04-05,2025-04-20,Planned,263,13,High
MS-00218,U-004,Support,Base 04,2025-06-04,2025-06-16,Completed,60,4,Routine
MS-00219,U-027,Exercise,Base 27,2025-06-15,2025-06-16,Planned,125,2,Critical
MS-00220,U-014,Exercise,Base 14,2025-07-11,2025-07-24,Planned,64,21,Critical
MS-00221,U-015,Support,Base 15,2025-05-06,2025-05-15,Completed,54,23,Routine
MS-00222,U-006,Support,Base 06,2025-03-12,2025-03-16,Active,266,16,Routine
MS-00223,U-015,Support,Base 15,2026-04-19,2026-04-29,Planned,285,32,Routine
MS-00224,U-034,Training,Base 34,2026-04-07,2026-04-09,Active,40,21,Routine
MS-00225,U-055,Training,Base 55,2025-08-26,2025-09-06,Completed,278,3,Critical
MS-00226,U-038,Exercise,Base 38,2025-01-08,2025-01-20,Completed,254,29,High
MS-00227,U-011,Training,Base 11,2026-04-17,2026-04-29,Active,256,35,High
MS-00228,U-010,Support,Base 10,2026-01-18,2026-02-01,Planned,53,14,Critical
MS-00229,U-021,Exercise,Base 21,2025-11-12,2025-11-16,Active,255,18,High
MS-00230,U-035,Exercise,Base 35,2025-12-10,2025-12-23,Planned,203,18,High
MS-00231,U-011,Support,Base 11,2025-08-17,2025-08-22,Completed,41,13,High
MS-00232,U-046,Transport,Base 46,2026-07-24,2026-08-06,Completed,52,2,Critical
MS-00233,U-034,Exercise,Base 34,2025-06-05,2025-06-13,Active,20,35,Critical
MS-00234,U-029,Transport,Base 29,2025-10-08,2025-10-12,Active,193,40,Critical
MS-00235,U-051,Transport,Base 51,2026-03-20,2026-03-31,Completed,25,37,Critical
MS-00236,U-029,Transport,Base 29,2025-05-18,2025-05-23,Completed,273,33,High
MS-00237,U-016,Exercise,Base 16,2026-06-08,2026-06-20,Completed,242,36,Routine
MS-00238,U-024,Support,Base 24,2025-07-14,2025-07-19,Completed,288,7,Critical
MS-00239,U-008,Exercise,Base 08,2025-01-12,2025-01-25,Completed,97,9,Critical
MS-00240,U-034,Training,Base 34,2026-08-06,2026-08-11,Completed,235,39,Routine
MS-00241,U-006,Exercise,Base 06,2026-03-06,2026-03-19,Planned,196,6,High
MS-00242,U-019,Exercise,Base 19,2025-04-28,2025-05-06,Active,158,19,High
MS-00243,U-008,Transport,Base 08,2026-01-21,2026-02-04,Planned,112,17,Critical
MS-00244,U-002,Training,Base 02,2026-01-25,2026-01-27,Planned,27,9,High
MS-00245,U-042,Transport,Base 42,2025-10-06,2025-10-09,Completed,102,19,High
MS-00246,U-054,Exercise,Base 54,2026-04-21,2026-05-01,Active,51,26,Critical
MS-00247,U-059,Training,Base 59,2025-10-31,2025-11-15,Active,32,35,High
MS-00248,U-023,Transport,Base 23,2025-07-17,2025-07-26,Planned,124,12,Critical
MS-00249,U-018,Transport,Base 18,2025-08-02,2025-08-13,Planned,204,9,Routine
MS-00250,U-013,Exercise,Base 13,2025-08-20,2025-09-04,Planned,229,40,High
MS-00251,U-059,Support,Base 59,2025-10-02,2025-10-05,Active,113,19,High
MS-00252,U-037,Transport,Base 37,2025-08-13,2025-08-19,Active,234,33,Critical
MS-00253,U-034,Training,Base 34,2025-07-19,2025-08-01,Completed,266,12,Routine
MS-00254,U-020,Training,Base 20,2025-08-24,2025-09-07,Active,277,34,Critical
MS-00255,U-044,Support,Base 44,2025-10-07,2025-10-15,Active,212,29,High
MS-00256,U-027,Transport,Base 27,2025-10-16,2025-10-22,Planned,131,40,Routine
MS-00257,U-034,Exercise,Base 34,2025-09-25,2025-10-09,Active,156,33,High
MS-00258,U-060,Transport,Base 60,2026-02-16,2026-02-28,Completed,156,21,Routine
MS-00259,U-027,Transport,Base 27,2026-02-07,2026-02-10,Completed,130,12,Critical
MS-00260,U-013,Support,Base 13,2026-02-11,2026-02-12,Planned,35,6,Routine
MS-00261,U-042,Training,Base 42,2026-07-08,2026-07-11,Active,117,38,Critical
MS-00262,U-047,Exercise,Base 47,2025-07-13,2025-07-28,Active,38,3,High
MS-00263,U-028,Training,Base 28,2025-12-16,2025-12-31,Active,123,36,High
MS-00264,U-043,Training,Base 43,2025-05-07,2025-05-19,Active,59,36,High
MS-00265,U-005,Support,Base 05,2025-04-21,2025-05-05,Planned,240,19,Routine
MS-00266,U-045,Transport,Base 45,2026-02-28,2026-03-09,Active,204,6,Critical
MS-00267,U-053,Exercise,Base 53,2025-11-14,2025-11-19,Planned,272,33,Routine
MS-00268,U-023,Support,Base 23,2025-02-06,2025-02-19,Active,282,35,High
MS-00269,U-038,Transport,Base 38,2026-04-17,2026-04-19,Completed,134,13,Routine
MS-00270,U-034,Transport,Base 34,2025-11-17,2025-11-24,Active,137,29,High
MS-00271,U-053,Support,Base 53,2025-01-06,2025-01-10,Completed,95,7,High
MS-00272,U-041,Support,Base 41,2026-08-11,2026-08-26,Active,80,37,Routine
MS-00273,U-035,Exercise,Base 35,2026-08-11,2026-08-15,Active,185,6,Routine
MS-00274,U-010,Exercise,Base 10,2026-04-10,2026-04-20,Active,200,35,Routine
MS-00275,U-017,Training,Base 17,2026-04-16,2026-04-27,Active,190,26,Routine
MS-00276,U-016,Exercise,Base 16,2025-08-11,2025-08-21,Completed,254,38,Critical
MS-00277,U-059,Training,Base 59,2026-04-07,2026-04-16,Planned,192,19,Routine
MS-00278,U-017,Transport,Base 17,2026-01-30,2026-02-05,Planned,99,22,High
MS-00279,U-026,Training,Base 26,2025-07-30,2025-08-03,Active,132,2,Routine
MS-00280,U-015,Transport,Base 15,2025-01-08,2025-01-16,Active,215,27,Routine
MS-00281,U-016,Support,Base 16,2025-10-19,2025-10-25,Active,43,9,Routine
MS-00282,U-041,Exercise,Base 41,2026-06-23,2026-07-03,Completed,26,2,Routine
MS-00283,U-006,Transport,Base 06,2025-05-20,2025-05-23,Active,269,34,Routine
MS-00284,U-035,Transport,Base 35,2026-05-22,2026-05-24,Completed,217,24,High
MS-00285,U-053,Support,Base 53,2026-03-04,2026-03-12,Active,272,4,Critical
MS-00286,U-017,Training,Base 17,2025-08-30,2025-09-03,Completed,208,7,High
MS-00287,U-016,Support,Base 16,2026-01-18,2026-02-01,Completed,199,18,High
MS-00288,U-048,Support,Base 48,2025-06-19,2025-06-22,Planned,294,21,High
MS-00289,U-049,Training,Base 49,2026-02-19,2026-02-20,Active,269,21,Critical
MS-00290,U-001,Exercise,Base 01,2026-08-13,2026-08-24,Active,214,8,Critical
MS-00291,U-015,Exercise,Base 15,2026-01-18,2026-01-24,Active,172,8,Critical
MS-00292,U-051,Transport,Base 51,2026-01-15,2026-01-16,Active,179,34,Critical
MS-00293,U-052,Transport,Base 52,2026-02-16,2026-02-23,Active,148,26,Critical
MS-00294,U-024,Transport,Base 24,2025-10-05,2025-10-15,Completed,213,38,High
MS-00295,U-030,Transport,Base 30,2026-01-05,2026-01-12,Active,102,17,High
MS-00296,U-002,Exercise,Base 02,2025-02-16,2025-03-01,Planned,187,10,Routine
MS-00297,U-040,Transport,Base 40,2025-01-27,2025-01-28,Planned,65,24,Routine
MS-00298,U-031,Support,Base 31,2026-03-17,2026-03-27,Planned,158,12,Routine
MS-00299,U-007,Exercise,Base 07,2025-06-01,2025-06-09,Active,114,4,Critical
MS-00300,U-020,Transport,Base 20,2025-08-16,2025-08-19,Active,32,35,Routine
MS-00301,U-020,Transport,Base 20,2025-03-28,2025-04-05,Completed,282,32,Routine
MS-00302,U-019,Support,Base 19,2025-04-24,2025-05-02,Active,126,4,Critical
MS-00303,U-045,Support,Base 45,2026-04-13,2026-04-19,Completed,70,15,High
MS-00304,U-048,Training,Base 48,2025-03-12,2025-03-20,Completed,274,34,Critical
MS-00305,U-024,Transport,Base 24,2025-08-02,2025-08-17,Active,184,36,High
MS-00306,U-056,Transport,Base 56,2025-09-10,2025-09-16,Planned,194,9,High
MS-00307,U-018,Transport,Base 18,2025-04-18,2025-04-22,Completed,47,20,Routine
MS-00308,U-036,Support,Base 36,2026-05-20,2026-06-04,Completed,140,2,Critical
MS-00309,U-033,Training,Base 33,2025-10-29,2025-11-10,Active,238,18,Critical
MS-00310,U-008,Transport,Base 08,2025-11-02,2025-11-14,Active,205,5,Critical
MS-00311,U-056,Support,Base 56,2026-01-26,2026-01-30,Completed,189,33,Critical
MS-00312,U-044,Exercise,Base 44,2025-02-19,2025-02-25,Completed,28,35,Critical
MS-00313,U-001,Support,Base 01,2026-03-15,2026-03-25,Completed,286,20,High
MS-00314,U-018,Exercise,Base 18,2025-12-22,2026-01-02,Completed,112,40,High
MS-00315,U-023,Training,Base 23,2025-09-02,2025-09-03,Completed,262,28,Critical
MS-00316,U-033,Transport,Base 33,2025-03-05,2025-03-19,Completed,300,17,High
MS-00317,U-004,Exercise,Base 04,2025-12-30,2026-01-13,Planned,141,19,High
